Engine File,Mean Latency (ms),Max Latency (ms),Min Latency (ms),90th Percentile Latency (ms),95th Percentile Latency (ms),99th Percentile Latency (ms)
Ptycho0,1.39326,5.18901,1.31293,,,2.15509
Ptycho10,0.547296,0.85379,0.528931,,,0.606262
Ptycho11,2.02231,5.73366,1.94434,,,3.91449
Ptycho12,1.99318,7.74603,1.27051,,,7.09811
Ptycho13,1.62824,2.31371,1.56738,,,2.28339
Ptycho14,0.826164,0.914154,0.80481,,,0.896729
Ptycho15,0.915174,1.22162,0.863525,,,1.1936
Ptycho16,1.12666,5.51102,0.978271,,,5.02341
Ptycho17,2.76181,5.20605,1.89062,,,5.18651
Ptycho18,0.887153,1.73091,0.838013,,,1.61917
Ptycho19,1.09366,1.52667,1.052,,,1.48387
Ptycho1,1.50711,2.01842,1.46793,,,1.97044
Ptycho20,1.04116,2.1855,0.978516,,,1.58325
Ptycho21,1.1535,1.65059,1.12183,,,1.6087
Ptycho22,1.07493,1.70447,0.950684,,,1.66449
Ptycho23,1.05065,1.61955,1.02246,,,1.15573
Ptycho24,1.16155,1.5833,1.13049,,,1.24121
Ptycho25,0.869428,1.46301,0.83844,,,1.11618
Ptycho26,1.08047,1.60559,1.05347,,,1.17221
Ptycho27,1.89448,15.411,1.42908,,,15.2002
Ptycho28,2.46505,7.94229,2.39685,,,3.32825
Ptycho29,1.4035,2.01111,1.36963,,,1.4917
Ptycho2,1.34358,2.02003,1.31171,,,1.45963
Ptycho30,1.83556,2.55388,1.80429,,,1.96506
Ptycho31,1.45094,2.06169,1.41406,,,2.03152
Ptycho32,0.989659,3.79211,0.960571,,,1.07687
Ptycho33,0.988305,1.52849,0.963013,,,1.11046
Ptycho34,1.28678,1.95641,1.24487,,,1.92386
Ptycho35,0.901858,1.44186,0.869385,,,0.987061
Ptycho36,0.886125,1.93555,0.853027,,,0.956573
Ptycho37,1.49123,10.0859,0.957275,,,9.85078
Ptycho38,0.75493,1.19064,0.727783,,,1.12427
Ptycho39,0.869311,1.24527,0.84137,,,1.21439
Ptycho3,1.14273,1.6622,1.11401,,,1.24066
Ptycho40,0.632859,0.854004,0.603271,,,0.829071
Ptycho41,1.34051,1.94551,1.30725,,,1.46094
Ptycho42,1.22185,1.6609,1.19147,,,1.30081
Ptycho43,0.866652,1.38098,0.842041,,,1.08228
Ptycho44,0.875316,1.90781,0.84436,,,1.36867
Ptycho45,1.09899,1.75885,1.05811,,,1.69806
Ptycho46,1.08706,1.56311,1.05615,,,1.51306
Ptycho47,1.04419,1.59048,1.01147,,,1.26123
Ptycho48,0.977116,1.16559,0.951172,,,1.05139
Ptycho49,0.851528,3.52179,0.80896,,,1.09415
Ptycho4,2.5847,4.43515,2.43945,,,4.38608
Ptycho50,0.982593,1.60535,0.935547,,,1.55997
Ptycho51,1.4162,2.302,1.37158,,,1.5665
Ptycho52,1.38411,1.51859,1.35638,,,1.48636
Ptycho53,0.758847,1.2782,0.725952,,,0.977753
Ptycho54,0.761509,1.03494,0.686523,,,1.00104
Ptycho55,0.818554,3.09485,0.770996,,,1.54489
Ptycho56,1.07002,1.69626,1.02734,,,1.66193
Ptycho57,0.895554,1.31779,0.87207,,,0.975342
Ptycho58,1.80051,2.66949,1.755,,,2.57738
Ptycho59,1.00813,1.56834,0.97876,,,1.10536
Ptycho5,0.865293,1.12421,0.837402,,,1.10988
Ptycho60,0.801285,1.20815,0.781006,,,0.883484
Ptycho61,0.943069,1.03712,0.918152,,,1.02222
Ptycho62,0.793408,1.10181,0.752197,,,1.07961
Ptycho63,1.26327,1.99823,1.20874,,,1.95532
Ptycho64,1.01354,1.44101,0.985626,,,1.09958
Ptycho65,1.40006,5.07509,1.3457,,,2.17355
Ptycho66,0.907126,1.33511,0.86084,,,1.31662
Ptycho67,1.39701,2.17644,1.35352,,,2.1178
Ptycho68,1.33017,1.45493,1.30725,,,1.43501
Ptycho69,1.19437,1.8273,1.15015,,,1.76511
Ptycho6,0.79051,1.07068,0.763123,,,1.04477
Ptycho70,1.0869,1.78293,1.04797,,,1.70099
Ptycho71,0.919878,1.04077,0.892822,,,1.02313
Ptycho72,0.721167,1.09659,0.699219,,,0.778198
Ptycho73,1.22641,1.85738,1.18433,,,1.81842
Ptycho74,1.20913,1.86617,1.17822,,,1.30017
Ptycho75,1.62626,2.3886,1.57812,,,1.75641
Ptycho76,0.973591,1.49962,0.940796,,,1.4455
Ptycho77,1.33026,1.89764,1.29626,,,1.44542
Ptycho78,1.1441,1.82826,1.1073,,,1.26083
Ptycho79,1.87801,5.94078,1.81885,,,2.55807
Ptycho7,2.65714,3.62485,2.37012,,,2.85126
Ptycho80,1.43951,2.06314,1.40344,,,2.03235
Ptycho81,1.0528,2.50085,0.961914,,,2.43106
Ptycho82,0.983153,1.4982,0.955444,,,1.06171
Ptycho83,1.08827,1.61508,1.05603,,,1.18439
Ptycho84,0.979403,1.51089,0.950867,,,1.15131
Ptycho85,1.39965,2.18472,1.35968,,,1.52859
Ptycho86,0.720846,1.04112,0.682861,,,1.01839
Ptycho87,0.801651,1.14113,0.765381,,,0.878662
Ptycho88,1.07668,1.64136,1.03491,,,1.61728
Ptycho89,0.885253,0.983795,0.86026,,,0.961304
Ptycho8,2.20769,3.17313,2.15356,,,3.12576
Ptycho90,0.977636,1.30231,0.949951,,,1.27826
Ptycho91,1.08844,1.55638,1.05725,,,1.42117
Ptycho92,1.08943,1.44751,1.03961,,,1.42902
Ptycho93,1.29534,11.6098,1.12036,,,10.0005
Ptycho94,1.06636,1.59856,1.02441,,,1.1734
Ptycho95,1.21058,4.16998,1.14978,,,1.67905
Ptycho96,1.39911,3.26222,1.35901,,,1.9566
Ptycho97,0.746981,0.977966,0.715088,,,0.950104
Ptycho98,0.720678,1.06418,0.686462,,,1.04337
Ptycho99,0.922832,1.47266,0.883545,,,1.42801
Ptycho9,4.53389,6.38486,4.42657,,,4.72003
