Engine File,Mean Latency (ms),Max Latency (ms),Min Latency (ms),90th Percentile Latency (ms),95th Percentile Latency (ms),99th Percentile Latency (ms)
Ptycho0,71.8526,73.3593,71.7737,,,73.3593
Ptycho10,41.2198,43.1305,40.988,,,43.1305
Ptycho11,24.4802,25.1067,24.3474,,,25.0902
Ptycho12,43.9119,44.4115,43.7295,,,44.4115
Ptycho13,52.3627,52.951,52.2012,,,52.951
Ptycho14,11.0184,11.4689,10.9116,,,11.4648
Ptycho15,11.8478,12.4267,11.7378,,,12.4048
Ptycho16,20.2737,20.9023,20.1677,,,20.8714
Ptycho17,23.6391,23.8663,23.564,,,23.866
Ptycho18,10.0664,10.5261,9.97534,,,10.5054
Ptycho19,18.6912,19.3492,18.5835,,,19.3393
Ptycho1,19.4756,20.0274,19.3687,,,20.0144
Ptycho20,24.5108,27.5134,24.2554,,,25.3357
Ptycho21,11.3376,15.8909,11.1902,,,12.0661
Ptycho22,39.9846,40.6061,39.7383,,,40.6061
Ptycho23,13.4808,18.1453,13.3201,,,14.0406
Ptycho24,9.06956,14.2722,8.8855,,,12.5054
Ptycho25,23.0891,23.6582,22.9512,,,23.6533
Ptycho26,13.25,13.7131,13.1277,,,13.7046
Ptycho27,10.7806,11.2803,10.6567,,,11.2713
Ptycho28,6.75402,7.14713,6.66528,,,7.13657
Ptycho29,6.41779,6.88504,6.33936,,,6.86682
Ptycho2,28.418,29.0414,28.2847,,,29.0229
Ptycho30,10.9982,11.5886,10.9092,,,11.4612
Ptycho31,3.44951,18.2486,3.19751,,,7.46069
Ptycho32,16.281,20.4988,9.04272,,,20.021
Ptycho33,8.82076,9.27736,8.73828,,,9.26584
Ptycho34,5.09301,5.44934,5.02539,,,5.42996
Ptycho35,103.002,103.395,102.885,,,103.395
Ptycho36,6.34587,6.80981,6.26904,,,6.78012
Ptycho37,6.3683,6.87207,6.22681,,,6.83893
Ptycho38,6.20509,19.6591,5.71191,,,11.1934
Ptycho39,3.7137,7.97411,3.63647,,,4.05247
Ptycho3,16.1641,16.7118,16.0432,,,16.7075
Ptycho40,7.86799,8.30783,7.77002,,,8.28656
Ptycho41,11.7188,12.2127,11.6086,,,12.2057
Ptycho42,11.0929,11.7383,10.9084,,,11.7316
Ptycho43,9.53139,9.97809,9.43481,,,9.97208
Ptycho44,7.09767,7.53333,7.01929,,,7.50891
Ptycho45,8.21394,12.978,8.06323,,,9.50839
Ptycho46,5.97593,6.40546,5.89111,,,6.36545
Ptycho47,10.7713,48.2144,8.14893,,,47.4164
Ptycho48,10.5536,23.6412,7.54053,,,22.7009
Ptycho49,6.51821,6.87546,6.45459,,,6.80405
Ptycho4,17.7297,18.394,17.5137,,,18.3879
Ptycho50,7.29385,7.73672,7.2312,,,7.70624
Ptycho51,9.99892,10.6086,9.79077,,,10.582
Ptycho52,8.60307,9.12262,8.49951,,,9.02161
Ptycho53,8.36652,8.9631,8.20117,,,8.92111
Ptycho54,6.37542,6.81586,6.32837,,,6.76956
Ptycho55,8.84392,9.33371,8.74927,,,9.32422
