Engine File,Mean Latency (ms),Max Latency (ms),Min Latency (ms),90th Percentile Latency (ms),95th Percentile Latency (ms),99th Percentile Latency (ms)
Bragg0-int8,0.028713,0.0622559,0.026123,,,0.0306396
Bragg10-int8,0.0200711,0.0581055,0.017334,,,0.0217285
Bragg11-int8,0.0233608,0.0485229,0.0205078,,,0.0256348
Bragg12-int8,0.020089,0.0505371,0.017334,,,0.0217285
Bragg13-int8,0.025255,0.0615234,0.0231934,,,0.0268555
Bragg14-int8,0.0199089,0.0504761,0.0174561,,,0.0214844
Bragg15-int8,0.020016,0.0484619,0.0177917,,,0.0214844
Bragg16-int8,0.0273127,0.0583496,0.0249023,,,0.0292358
Bragg17-int8,0.0202051,0.0968018,0.0178223,,,0.021759
Bragg18-int8,0.0226478,0.0539551,0.0200195,,,0.024292
Bragg19-int8,0.0196805,0.0513916,0.0170898,,,0.0212402
Bragg1-int8,0.0201479,0.0433197,0.0175781,,,0.0217285
Bragg20-int8,0.020623,0.0619507,0.0178223,,,0.0229492
Bragg21-int8,0.0228134,0.332397,0.0202637,,,0.0244141
Bragg22-int8,0.0227849,0.0550537,0.0202637,,,0.0244141
Bragg23-int8,0.0303893,0.0684814,0.0275879,,,0.0319824
Bragg24-int8,0.0251809,0.0957031,0.0231934,,,0.0270996
Bragg25-int8,0.0227444,0.0549316,0.0197754,,,0.0249023
Bragg26-int8,0.0256542,0.057373,0.0236816,,,0.0273438
Bragg27-int8,0.0307365,0.0615234,0.0280762,,,0.0322266
Bragg28-int8,0.0313158,0.0738525,0.0284424,,,0.0334473
Bragg29-int8,0.0280733,0.0603027,0.0256348,,,0.0307007
Bragg2-int8,0.0202461,0.0625,0.0175781,,,0.0218506
Bragg30-int8,0.0248712,0.065918,0.0229492,,,0.0263672
Bragg31-int8,0.0255248,0.0541992,0.0234375,,,0.0270996
Bragg32-int8,0.0274597,0.0618896,0.0251465,,,0.0290527
Bragg33-int8,0.0252386,0.0708008,0.0224609,,,0.0268555
Bragg34-int8,0.0250917,0.370361,0.0230713,,,0.0268555
Bragg35-int8,0.0247466,0.0616455,0.0227051,,,0.0264893
Bragg36-int8,0.0247283,0.0648193,0.0226746,,,0.0266113
Bragg37-int8,0.0279431,0.0640869,0.0255737,,,0.0296631
Bragg38-int8,0.0277903,0.0579834,0.0252686,,,0.0297852
Bragg39-int8,0.0228536,0.0561523,0.0203857,,,0.0244141
Bragg3-int8,0.0204535,0.0534668,0.0176697,,,0.0228271
Bragg40-int8,0.0228592,0.0495605,0.0198364,,,0.0245361
Bragg41-int8,0.0227369,0.292358,0.0197754,,,0.0249023
Bragg42-int8,0.0273303,0.0631104,0.0251465,,,0.0290527
