Engine File,Mean Latency (ms),Max Latency (ms),Min Latency (ms),90th Percentile Latency (ms),95th Percentile Latency (ms),99th Percentile Latency (ms)
Bragg0-int8,0.0299638,0.573608,0.0270996,,,0.0315552
Bragg10-int8,0.0255622,0.0577393,0.0236816,,,0.0273438
Bragg11-int8,0.0298641,0.0522461,0.0270996,,,0.0316162
Bragg12-int8,0.0353999,0.0593262,0.0317383,,,0.0376892
Bragg13-int8,0.0231209,0.270691,0.0202637,,,0.0250244
Bragg14-int8,0.0273377,0.0556641,0.0249023,,,0.0289307
Bragg15-int8,0.0246457,0.345215,0.0224609,,,0.0263672
Bragg16-int8,0.0252339,0.0581055,0.0229492,,,0.0268555
Bragg17-int8,0.0296312,0.111694,0.0263672,,,0.0314941
Bragg18-int8,0.0357042,0.0603027,0.0327148,,,0.0380859
Bragg19-int8,0.030623,0.0611572,0.027832,,,0.0322266
Bragg1-int8,0.0235675,0.0618896,0.0212402,,,0.0253906
Bragg20-int8,0.0309985,0.0615234,0.027832,,,0.0333252
Bragg21-int8,0.0301299,0.0665894,0.0273438,,,0.0317383
Bragg22-int8,0.0472827,0.0872192,0.0422363,,,0.0566101
Bragg23-int8,0.0342624,0.0621338,0.03125,,,0.0366211
Bragg24-int8,0.0302614,0.0570068,0.0273438,,,0.0319824
Bragg25-int8,0.0297903,0.291992,0.0270996,,,0.0314941
Bragg26-int8,0.0313293,0.0544434,0.0283203,,,0.0336914
Bragg27-int8,0.0234663,0.0537109,0.0212402,,,0.0251465
Bragg28-int8,0.0281134,0.0568848,0.0258789,,,0.0300293
Bragg29-int8,0.0289012,0.270508,0.0263672,,,0.0309448
Bragg2-int8,0.0326042,0.0606689,0.0299683,,,0.0348511
Bragg30-int8,0.0235298,0.0592041,0.0214844,,,0.0253906
Bragg31-int8,0.0493729,0.0739746,0.0455322,,,0.0526123
Bragg32-int8,0.0493152,0.0717773,0.0450439,,,0.0527649
Bragg33-int8,0.0368171,0.0678711,0.0338745,,,0.0394287
Bragg34-int8,0.0231107,0.115356,0.0204163,,,0.0251465
Bragg35-int8,0.0306471,0.0561523,0.0283203,,,0.0327148
Bragg36-int8,0.0271814,0.0566406,0.0246582,,,0.0289307
Bragg37-int8,0.0225611,0.0604248,0.0200195,,,0.0242004
Bragg38-int8,0.0222039,0.0644531,0.0196533,,,0.0239258
Bragg39-int8,0.0332945,0.261597,0.0302734,,,0.0358887
Bragg3-int8,0.0198372,0.0700684,0.0170898,,,0.0214844
Bragg40-int8,0.0229158,0.100586,0.0198975,,,0.0251465
Bragg41-int8,0.0220862,0.0449219,0.0192871,,,0.0236816
Bragg42-int8,0.0309021,0.065918,0.0283203,,,0.0331573
Bragg43-int8,0.0277794,0.0627441,0.0251465,,,0.0302734
Bragg44-int8,0.0282437,0.0498047,0.0256348,,,0.0300293
Bragg45-int8,0.0278721,0.0638428,0.0255127,,,0.0297852
Bragg46-int8,0.0259064,0.0570068,0.0236816,,,0.0280151
Bragg47-int8,0.0273277,0.0596924,0.0246582,,,0.0289307
Bragg48-int8,0.0279852,0.0592041,0.0256348,,,0.0300293
Bragg49-int8,0.024433,0.0599365,0.0219727,,,0.0262451
Bragg4-int8,0.0198471,0.052002,0.0170898,,,0.0214844
Bragg50-int8,0.0224915,0.0541992,0.0197754,,,0.0240479
Bragg51-int8,0.0297436,0.0628052,0.0266113,,,0.0317383
Bragg52-int8,0.030992,0.0618896,0.0279541,,,0.0328979
Bragg53-int8,0.0319893,0.0535889,0.0294189,,,0.0345459
Bragg54-int8,0.0295035,0.114258,0.0267334,,,0.0311279
Bragg55-int8,0.0321682,0.0632019,0.029541,,,0.0350342
Bragg56-int8,0.0306517,0.349609,0.0275879,,,0.0327148
Bragg57-int8,0.0330177,0.0526123,0.0302734,,,0.0353394
Bragg58-int8,0.0330242,0.0554199,0.0302734,,,0.0354004
Bragg59-int8,0.0311417,0.0959473,0.0283813,,,0.0330811
Bragg5-int8,0.0291745,0.0643311,0.0266113,,,0.0310059
Bragg60-int8,0.0300265,0.353149,0.0269165,,,0.0319214
Bragg61-int8,0.0275258,0.0595703,0.0251465,,,0.029541
Bragg62-int8,0.0337655,0.0739746,0.0307617,,,0.0361328
Bragg63-int8,0.0335295,0.0664062,0.0307617,,,0.0358887
Bragg64-int8,0.0403516,0.0759277,0.0371094,,,0.0429688
Bragg65-int8,0.0472748,0.0913391,0.0424805,,,0.056488
Bragg66-int8,0.0370586,0.095459,0.0334473,,,0.0395508
Bragg67-int8,0.036359,0.0617371,0.0332642,,,0.0390625
Bragg68-int8,0.0500711,0.0861816,0.0461426,,,0.0541992
Bragg69-int8,0.0361085,0.0576172,0.032959,,,0.0383301
Bragg6-int8,0.0245105,0.0549316,0.0219727,,,0.026123
Bragg70-int8,0.0482277,0.0826416,0.043457,,,0.0525513
Bragg71-int8,0.0466122,0.0649414,0.0424805,,,0.0518799
Bragg72-int8,0.0493127,0.0705566,0.0454102,,,0.0531921
Bragg73-int8,0.0362348,0.0639648,0.0330811,,,0.0390625
Bragg74-int8,0.0373615,0.0610352,0.0341797,,,0.0397949
Bragg75-int8,0.0264204,0.0599365,0.0239258,,,0.0283508
Bragg76-int8,0.0329392,0.0623779,0.0302734,,,0.0353088
Bragg77-int8,0.0323567,0.053833,0.029541,,,0.0350342
Bragg78-int8,0.0328303,0.0801086,0.0297852,,,0.0356445
Bragg79-int8,0.0364009,0.0686035,0.0334473,,,0.0388184
Bragg7-int8,0.0258589,0.0565186,0.0236816,,,0.0275879
Bragg80-int8,0.0319901,0.0593262,0.0292969,,,0.0349121
Bragg81-int8,0.0358983,0.0649414,0.0327148,,,0.0383301
Bragg82-int8,0.0232181,0.0467529,0.0202637,,,0.0256348
Bragg83-int8,0.0364708,0.0673828,0.0334473,,,0.0390625
Bragg84-int8,0.0327887,0.138306,0.029541,,,0.0351562
Bragg85-int8,0.0360889,0.0539551,0.0325928,,,0.0386963
Bragg86-int8,0.036466,0.0603027,0.0338135,,,0.0390015
Bragg87-int8,0.03113,0.050354,0.0285645,,,0.0334473
Bragg88-int8,0.0362551,0.587524,0.0325928,,,0.0386353
Bragg89-int8,0.0326466,0.0537109,0.0297852,,,0.0351562
Bragg8-int8,0.027346,0.0621338,0.0251465,,,0.0290527
Bragg90-int8,0.036508,0.0683594,0.0336914,,,0.0390625
Bragg91-int8,0.0363553,0.0649414,0.0328369,,,0.0390625
Bragg92-int8,0.0358302,0.0505371,0.0325928,,,0.0384521
Bragg93-int8,0.026702,0.268555,0.0244141,,,0.0283203
Bragg94-int8,0.0258078,0.0587158,0.0239258,,,0.0275879
Bragg95-int8,0.0307197,0.0640259,0.0283203,,,0.0326538
Bragg96-int8,0.029808,0.0592041,0.0270996,,,0.0317383
Bragg97-int8,0.0361812,0.0627441,0.0327148,,,0.0386963
Bragg98-int8,0.0301102,0.0549316,0.0273438,,,0.0319824
Bragg99-int8,0.0265542,0.0557861,0.0239258,,,0.0288086
Bragg9-int8,0.0275676,0.112427,0.0253601,,,0.029541
