Engine File,Mean Latency (ms),Max Latency (ms),Min Latency (ms),90th Percentile Latency (ms),95th Percentile Latency (ms),99th Percentile Latency (ms)
Ptycho0,3.56812,5.12445,3.49475,,,4.34552
Ptycho10,5.62686,7.25731,5.5437,,,6.97678
Ptycho11,4.23685,8.26483,3.57544,,,7.7699
Ptycho12,6.04422,7.80856,5.94031,,,7.58765
Ptycho13,7.11552,8.63272,7.03516,,,8.27583
Ptycho14,1.68672,2.56564,1.6394,,,2.41539
Ptycho15,1.86359,2.77284,1.81763,,,2.64259
Ptycho16,3.11581,4.86603,3.04102,,,3.78456
Ptycho17,1.55044,2.56493,1.47803,,,1.79791
Ptycho18,1.5402,2.3701,1.49316,,,2.29102
Ptycho19,3.49261,10.9004,2.7605,,,10.8746
Ptycho1,2.94319,3.92554,2.89526,,,3.84303
Ptycho20,4.35553,6.17453,3.36426,,,5.84384
Ptycho21,1.7425,2.85286,1.68774,,,1.91278
Ptycho22,5.38162,7.27083,5.31299,,,5.93604
Ptycho23,2.01905,2.99643,1.95374,,,2.9147
Ptycho24,1.36834,2.1955,1.32959,,,1.45758
Ptycho25,3.37743,4.79259,3.31616,,,3.97574
Ptycho26,1.99671,3.10092,1.94586,,,2.53212
Ptycho27,1.68565,2.5863,1.62366,,,2.55359
Ptycho28,1.09073,3.30589,1.03442,,,1.95183
Ptycho29,1.05816,1.74187,1.01831,,,1.68584
Ptycho2,4.15918,6.39227,4.05542,,,5.28018
Ptycho30,1.64171,1.74475,1.60352,,,1.73401
Ptycho31,0.652199,0.907303,0.569336,,,0.879562
Ptycho32,1.39104,2.21648,1.34131,,,1.48029
Ptycho33,1.39151,2.38631,1.34534,,,1.49402
Ptycho34,0.838595,1.33879,0.807068,,,1.28392
Ptycho35,4.69378,6.38928,4.61646,,,5.6058
Ptycho36,1.04872,1.78682,1.00757,,,1.36865
Ptycho37,1.40915,7.13394,1.0105,,,5.59387
Ptycho38,0.978815,1.3728,0.951904,,,1.33542
Ptycho39,0.634898,1.00159,0.610718,,,0.87088
Ptycho3,2.3853,3.6118,2.32764,,,2.69402
Ptycho40,1.30176,1.94817,1.2627,,,1.90857
Ptycho41,1.7534,2.88977,1.71155,,,1.85846
Ptycho42,1.63125,2.6722,1.58069,,,2.35385
Ptycho43,1.52101,2.465,1.41943,,,1.95584
Ptycho44,1.14941,1.82787,1.10913,,,1.51126
Ptycho45,1.32589,1.97235,1.2804,,,1.93338
Ptycho46,0.991315,1.73439,0.948975,,,1.1814
Ptycho47,1.54181,3.43765,1.31519,,,3.37939
Ptycho48,1.2391,2.06003,1.18359,,,1.98941
Ptycho49,1.03366,1.79361,1.00153,,,1.10693
Ptycho4,2.81452,4.1767,2.74365,,,4.01834
Ptycho50,1.17474,1.94458,1.13367,,,1.67126
Ptycho51,1.47851,2.52501,1.4353,,,1.63342
Ptycho52,1.36939,2.50566,1.29443,,,2.41138
Ptycho53,1.29476,2.13536,1.24805,,,1.50064
Ptycho54,1.01902,2.34065,0.956299,,,2.2774
Ptycho55,1.40286,2.34009,1.34814,,,1.88878
Ptycho56,1.05388,1.71431,1.01001,,,1.6666
Ptycho57,1.53793,2.32817,1.48645,,,2.19507
Ptycho58,0.738587,1.17101,0.708862,,,1.13261
Ptycho59,1.44678,2.19595,1.40991,,,1.54959
Ptycho5,1.43677,1.85977,1.40552,,,1.54874
Ptycho60,1.36106,2.14738,1.31982,,,2.02031
Ptycho61,1.10058,1.6924,1.06519,,,1.61505
Ptycho62,0.811738,1.34395,0.780273,,,0.910889
Ptycho63,1.12661,1.8033,1.08789,,,1.73105
Ptycho64,0.974783,1.55551,0.944824,,,1.17926
Ptycho65,1.08826,1.64743,1.06274,,,1.48553
Ptycho66,1.33538,2.2516,1.29736,,,1.41751
Ptycho67,1.43523,2.20238,1.39185,,,1.51514
Ptycho68,1.12838,1.82158,1.09778,,,1.20451
Ptycho69,1.24213,4.91888,1.18896,,,1.87817
Ptycho6,2.65359,4.09262,2.59277,,,2.7744
Ptycho70,1.10706,1.65775,1.06885,,,1.56778
Ptycho71,1.14258,1.23471,1.11206,,,1.22119
Ptycho72,3.09893,4.37172,3.04761,,,3.61554
Ptycho73,0.806315,3.01866,0.765869,,,1.22079
Ptycho74,1.75876,2.83676,1.68494,,,2.7838
Ptycho75,1.70975,2.96994,1.58032,,,2.19907
Ptycho76,1.23049,2.32507,1.18079,,,1.85626
Ptycho77,1.47617,2.73389,1.4303,,,1.57623
Ptycho78,2.07059,2.2348,2.02954,,,2.2016
Ptycho79,1.16142,1.7547,1.13489,,,1.56927
Ptycho7,2.2305,3.2565,2.17657,,,2.84677
Ptycho80,1.57141,2.86407,1.5321,,,1.67743
Ptycho81,1.44343,2.38779,1.39551,,,1.99426
Ptycho82,1.27263,1.94022,1.23438,,,1.90558
Ptycho83,2.30949,3.73221,2.25134,,,2.66042
Ptycho84,1.63373,7.52751,1.56396,,,2.65936
Ptycho85,1.43978,11.8387,1.10181,,,11.5772
Ptycho86,1.61432,2.57976,1.55518,,,2.27315
Ptycho87,1.44969,1.5802,1.41553,,,1.53607
Ptycho88,2.93351,4.21552,2.875,,,3.76697
Ptycho89,2.66074,3.93013,2.59741,,,3.61504
Ptycho8,2.33946,3.34822,2.30518,,,2.4765
Ptycho90,0.967507,9.12273,0.852722,,,1.7645
Ptycho91,2.50502,2.6618,2.45679,,,2.63763
Ptycho92,1.99872,3.10518,1.94983,,,2.24406
Ptycho93,1.86661,3.24832,1.81787,,,2.00108
Ptycho94,2.24456,3.30283,2.1864,,,3.19072
Ptycho95,2.146,3.4826,2.09961,,,2.25723
Ptycho96,2.65454,10.5809,2.38281,,,5.43112
Ptycho97,2.35325,5.84515,2.22253,,,5.43243
Ptycho98,1.28402,14.9413,0.837769,,,8.81314
Ptycho99,1.50216,2.80511,1.46606,,,1.60529
Ptycho9,2.00863,2.93831,1.96216,,,2.744
