Engine File,Mean Latency (ms),Max Latency (ms),Min Latency (ms),90th Percentile Latency (ms),95th Percentile Latency (ms),99th Percentile Latency (ms)
Ptycho0,2.05061,2.92172,2.01904,,,2.19839
Ptycho10,3.08464,4.18784,3.01538,,,4.15033
Ptycho11,2.04106,2.95268,1.97974,,,2.59769
Ptycho12,3.32419,4.41833,3.26782,,,4.37302
Ptycho13,3.83712,5.15604,3.76672,,,5.10577
Ptycho14,1.47296,10.3156,0.970215,,,10.204
Ptycho15,1.29915,7.07491,1.14087,,,5.99799
Ptycho16,1.84739,2.57114,1.79102,,,2.54001
Ptycho17,0.935679,3.61015,0.894043,,,1.48145
Ptycho18,0.956185,1.19333,0.892944,,,1.17902
Ptycho19,1.6171,1.77246,1.59094,,,1.75009
Ptycho1,1.84406,2.2439,1.79333,,,2.21909
Ptycho20,1.91386,2.71416,1.86621,,,2.64789
Ptycho21,0.989974,1.07965,0.971191,,,1.06996
Ptycho22,2.86658,3.86041,2.823,,,3.63283
Ptycho23,1.14803,1.66806,1.12646,,,1.58917
Ptycho24,1.39766,3.18529,0.781006,,,1.77966
Ptycho25,1.89372,2.66724,1.86597,,,2.02612
Ptycho26,1.14181,1.70166,1.11127,,,1.24371
Ptycho27,1.02233,1.49707,0.970947,,,1.47607
Ptycho28,0.62287,0.920288,0.596313,,,0.889542
Ptycho29,0.758242,1.00117,0.716003,,,0.979279
Ptycho2,2.4409,3.45126,2.40643,,,2.63802
Ptycho30,0.936024,1.38246,0.907227,,,1.02054
Ptycho31,0.429146,0.447998,0.407471,,,0.437317
Ptycho32,0.893689,1.30835,0.788574,,,0.99353
Ptycho33,0.796194,1.18552,0.771484,,,0.854401
Ptycho34,0.533623,1.95276,0.495361,,,0.886871
Ptycho35,2.5862,3.53189,2.53564,,,3.50079
Ptycho36,0.64095,0.932465,0.608032,,,0.915649
Ptycho37,0.810124,3.27963,0.61499,,,2.37497
Ptycho38,0.744773,2.12836,0.66272,,,1.73843
Ptycho39,0.426799,0.587494,0.400757,,,0.4375
Ptycho3,1.39917,2.12819,1.36267,,,1.52713
Ptycho40,0.865554,1.12421,0.81308,,,1.10687
Ptycho41,0.99563,1.49792,0.96582,,,1.07422
Ptycho42,0.950334,1.54713,0.921387,,,1.06656
Ptycho43,1.42498,9.00163,0.843018,,,8.85132
Ptycho44,0.909806,2.68411,0.690918,,,2.57097
Ptycho45,0.935078,2.73647,0.862061,,,2.33286
Ptycho46,0.600886,0.668823,0.578857,,,0.659882
Ptycho47,0.825315,1.18942,0.787964,,,1.16495
Ptycho48,0.817242,1.08418,0.772217,,,1.05202
Ptycho49,0.618425,0.695251,0.599854,,,0.673615
Ptycho4,1.81144,2.00143,1.77628,,,1.97937
Ptycho50,0.802735,1.41679,0.757812,,,1.04715
Ptycho51,0.84919,1.36948,0.809814,,,1.2829
Ptycho52,0.781071,1.10983,0.756592,,,1.0809
Ptycho53,0.757633,1.19832,0.730957,,,1.16431
Ptycho54,0.580738,0.908112,0.562988,,,0.631866
Ptycho55,0.827222,1.15213,0.787476,,,1.12061
Ptycho56,0.724643,1.14853,0.655273,,,1.12701
Ptycho57,0.997459,1.53867,0.875,,,1.50421
Ptycho58,0.494171,0.672516,0.462646,,,0.63385
Ptycho59,0.880509,1.31573,0.857025,,,1.12506
Ptycho5,1.06387,1.38959,1.00867,,,1.35089
Ptycho60,0.839934,1.32573,0.810547,,,1.24915
Ptycho61,0.768446,1.0553,0.730957,,,1.01849
Ptycho62,0.507094,0.76944,0.482666,,,0.738098
Ptycho63,0.818617,1.09042,0.772217,,,1.06763
Ptycho64,0.593872,0.911255,0.571411,,,0.860565
Ptycho65,0.758679,1.00153,0.718018,,,0.972778
Ptycho66,0.859644,1.28185,0.837891,,,0.924591
Ptycho67,0.844948,0.937622,0.815063,,,0.914001
Ptycho68,0.681244,0.748535,0.664062,,,0.742401
Ptycho69,0.768297,1.27661,0.73999,,,1.17096
Ptycho6,1.50745,2.12247,1.48291,,,1.78384
Ptycho70,0.755327,1.3291,0.713913,,,0.955933
Ptycho71,0.69101,1.05176,0.667053,,,1.02878
Ptycho72,4.9719,5.18079,4.91858,,,5.1514
Ptycho73,0.522558,0.708191,0.497986,,,0.680176
Ptycho74,1.0133,1.50902,0.988281,,,1.09833
Ptycho75,0.924087,1.37775,0.899902,,,0.999512
Ptycho76,0.840963,1.51331,0.80603,,,1.09109
Ptycho77,0.900011,3.93869,0.805908,,,2.48227
Ptycho78,1.17317,1.70506,1.14258,,,1.32558
Ptycho79,0.819638,1.33,0.773499,,,1.14861
Ptycho7,1.54388,2.07004,1.4668,,,2.03955
Ptycho80,0.914121,1.44499,0.883057,,,1.41132
Ptycho81,0.894455,1.39203,0.80603,,,1.36978
Ptycho82,0.781156,3.49829,0.740356,,,1.10123
Ptycho83,1.32012,2.00705,1.26257,,,1.98444
Ptycho84,0.904492,1.37833,0.867065,,,1.34076
Ptycho85,0.742596,3.62546,0.645996,,,3.55054
Ptycho86,1.5514,5.69498,0.883789,,,5.39066
Ptycho87,0.824916,1.25023,0.80249,,,0.894623
Ptycho88,2.68274,3.49731,1.57568,,,3.47572
Ptycho89,1.4832,2.12125,1.44434,,,2.09372
Ptycho8,2.246,2.58173,2.18579,,,2.5683
Ptycho90,0.569778,2.92375,0.534912,,,1.09625
Ptycho91,1.44387,2.13463,1.39111,,,2.10022
Ptycho92,1.14134,1.74831,1.10358,,,1.24942
Ptycho93,1.05043,1.14246,1.00952,,,1.13049
Ptycho94,1.2671,1.79926,1.23871,,,1.35585
Ptycho95,1.19676,1.77681,1.16449,,,1.27917
Ptycho96,1.38143,1.90877,1.35046,,,1.48209
Ptycho97,1.2634,1.771,1.22803,,,1.72989
Ptycho98,0.603196,0.799286,0.566406,,,0.764709
Ptycho99,0.902551,1.39697,0.864502,,,1.35675
Ptycho9,1.20791,1.73825,1.15936,,,1.71463
