Engine File,Mean Latency (ms),Max Latency (ms),Min Latency (ms),90th Percentile Latency (ms),95th Percentile Latency (ms),99th Percentile Latency (ms)
Bragg0-int8,0.0273663,0.0722351,0.0249023,,,0.0291138
Bragg10-int8,0.0186068,0.107178,0.0157471,,,0.0203857
Bragg11-int8,0.022443,0.0438232,0.0195312,,,0.0241699
Bragg12-int8,0.0184848,0.0979004,0.015625,,,0.0202637
Bragg13-int8,0.0248219,0.0430908,0.0224609,,,0.0264893
Bragg14-int8,0.0189149,0.045929,0.0161133,,,0.0206299
Bragg15-int8,0.018168,0.0354004,0.015625,,,0.019928
Bragg16-int8,0.0273316,0.0557861,0.0245972,,,0.0292969
Bragg17-int8,0.0187212,0.0461426,0.0161133,,,0.0203857
Bragg18-int8,0.0217973,0.041748,0.0189209,,,0.0234985
Bragg19-int8,0.0186949,0.0432129,0.0158691,,,0.0203857
Bragg1-int8,0.0187115,0.0466309,0.0157471,,,0.0203857
Bragg20-int8,0.0185868,0.0942383,0.015625,,,0.0202637
Bragg21-int8,0.0223587,0.0467529,0.0194092,,,0.0241699
Bragg22-int8,0.0225488,0.0487061,0.0197754,,,0.0241699
Bragg23-int8,0.0301967,0.0981445,0.0270996,,,0.0322266
Bragg24-int8,0.0240885,0.0531006,0.0217285,,,0.0258789
Bragg25-int8,0.0223815,0.0498047,0.0195312,,,0.0240479
Bragg26-int8,0.025154,0.0513916,0.0224609,,,0.0270386
Bragg27-int8,0.028883,0.0568848,0.0266113,,,0.0306091
Bragg28-int8,0.0296803,0.115967,0.0270996,,,0.031311
Bragg29-int8,0.0273455,0.0560303,0.0249023,,,0.0292969
Bragg2-int8,0.0187168,0.0581055,0.0159912,,,0.0203857
Bragg30-int8,0.0244895,0.0455933,0.0222168,,,0.0262451
Bragg31-int8,0.0238318,0.0462646,0.0216064,,,0.0256653
Bragg32-int8,0.027326,0.0531311,0.0249023,,,0.0291748
Bragg33-int8,0.0242935,0.379028,0.0219727,,,0.026123
Bragg34-int8,0.0247237,0.0598145,0.0222168,,,0.0263672
Bragg35-int8,0.0246303,0.05896,0.0227051,,,0.0263672
