Engine File,Mean Latency (ms),Max Latency (ms),Min Latency (ms),90th Percentile Latency (ms),95th Percentile Latency (ms),99th Percentile Latency (ms)
Bragg0-int8,0.0317452,0.0557251,0.0288086,,,0.0339355
Bragg10-int8,0.0211987,0.0497437,0.0183105,,,0.0228271
Bragg11-int8,0.023763,0.109131,0.0209961,,,0.0253906
Bragg12-int8,0.021242,0.0373535,0.0185547,,,0.0228271
Bragg13-int8,0.0274506,0.0475769,0.0251465,,,0.0290527
Bragg14-int8,0.0212933,0.0410767,0.0183105,,,0.0228271
Bragg15-int8,0.0212982,0.0429688,0.0187988,,,0.0228577
Bragg16-int8,0.0286587,0.120605,0.0259399,,,0.0310059
Bragg17-int8,0.0210763,0.0441895,0.0185547,,,0.0227051
Bragg18-int8,0.0238949,0.0430908,0.0211792,,,0.0255127
Bragg19-int8,0.0211263,0.0413818,0.0183105,,,0.0227051
Bragg1-int8,0.0212121,0.0429077,0.0185547,,,0.0229492
Bragg20-int8,0.0206944,0.0506592,0.0183105,,,0.0223999
Bragg21-int8,0.0239676,0.0419922,0.0214844,,,0.0256348
Bragg22-int8,0.0237649,0.0466309,0.0209961,,,0.0255127
Bragg23-int8,0.0317601,0.0480957,0.0288086,,,0.0338135
Bragg24-int8,0.0264079,0.0507812,0.0246582,,,0.0280762
Bragg25-int8,0.0237056,0.0511475,0.020752,,,0.0253906
Bragg26-int8,0.0263592,0.113251,0.0244141,,,0.0280762
Bragg27-int8,0.0315962,0.113281,0.0288086,,,0.0335083
Bragg28-int8,0.0318557,0.0539551,0.0290527,,,0.0337524
Bragg29-int8,0.0301026,0.0571289,0.0269775,,,0.0322266
Bragg2-int8,0.0212968,0.0449219,0.0186768,,,0.0229492
Bragg30-int8,0.0257536,0.0429688,0.0236816,,,0.0273438
Bragg31-int8,0.0263196,0.047226,0.0241699,,,0.0279541
Bragg32-int8,0.028553,0.0473633,0.026123,,,0.0310059
Bragg33-int8,0.026059,0.052002,0.0241699,,,0.0275879
Bragg34-int8,0.0273917,0.0465088,0.0251465,,,0.0294189
Bragg35-int8,0.0260642,0.0657959,0.0244141,,,0.0275879
Bragg36-int8,0.0266271,0.0452881,0.0247803,,,0.0282593
Bragg37-int8,0.0298259,0.0494385,0.0268555,,,0.0318604
Bragg38-int8,0.0290841,0.0499268,0.0258789,,,0.0312805
Bragg39-int8,0.0239418,0.045166,0.0214844,,,0.0256348
Bragg3-int8,0.0213742,0.0469971,0.0185547,,,0.0229492
Bragg40-int8,0.0240363,0.0491943,0.0212402,,,0.0257568
Bragg41-int8,0.0238749,0.0527344,0.0212402,,,0.0253906
Bragg42-int8,0.0296672,0.0524902,0.0266113,,,0.0319824
Bragg43-int8,0.0254996,0.0480347,0.0231934,,,0.0270996
Bragg44-int8,0.0260098,0.0671387,0.0241699,,,0.0275879
Bragg45-int8,0.0299199,0.394409,0.0264893,,,0.0321045
Bragg46-int8,0.0292611,0.0449219,0.0268555,,,0.031311
Bragg47-int8,0.0294368,0.052002,0.0266113,,,0.0317383
Bragg48-int8,0.0292954,0.0488281,0.0263672,,,0.0317383
Bragg49-int8,0.0234442,0.267273,0.020874,,,0.0251465
Bragg4-int8,0.0212233,0.110962,0.0186157,,,0.0228271
Bragg50-int8,0.0237343,0.0559082,0.0209961,,,0.0253906
Bragg51-int8,0.0318458,0.0517578,0.0290527,,,0.0344238
Bragg52-int8,0.0257096,0.041748,0.0234375,,,0.0275879
Bragg53-int8,0.0276618,0.0465088,0.0253906,,,0.029541
Bragg54-int8,0.0234456,0.266968,0.020752,,,0.0251465
Bragg55-int8,0.0266433,0.0454102,0.0246582,,,0.0283203
Bragg56-int8,0.0257578,0.0489502,0.0236816,,,0.0273438
Bragg57-int8,0.0257279,0.0532227,0.0239258,,,0.0273438
Bragg58-int8,0.0262403,0.048584,0.024292,,,0.0278931
Bragg59-int8,0.0257364,0.0457764,0.0239258,,,0.0273438
Bragg5-int8,0.0215439,0.0529785,0.0187988,,,0.0231934
Bragg60-int8,0.0271878,0.0461426,0.025116,,,0.0289307
Bragg61-int8,0.0259179,0.142334,0.0239258,,,0.0275879
Bragg62-int8,0.0304049,0.0493164,0.0274658,,,0.0325317
Bragg63-int8,0.0330612,0.0588379,0.0302734,,,0.0354004
Bragg64-int8,0.0303456,0.0482178,0.0270996,,,0.0324707
Bragg65-int8,0.0261929,0.0498047,0.024292,,,0.027832
Bragg66-int8,0.0300996,0.0480957,0.0268555,,,0.032196
Bragg67-int8,0.0281952,0.0561523,0.0258789,,,0.0305176
Bragg68-int8,0.0300886,0.0620117,0.0272217,,,0.0322266
Bragg69-int8,0.0263566,0.0438232,0.0244141,,,0.027832
Bragg6-int8,0.0205532,0.33136,0.0183105,,,0.0222168
Bragg70-int8,0.0210787,0.0461426,0.0187988,,,0.0227051
Bragg71-int8,0.0297583,0.0549316,0.0266113,,,0.0319824
Bragg72-int8,0.0235909,0.0512695,0.0209961,,,0.0252686
Bragg73-int8,0.0235437,0.0465698,0.0209961,,,0.0252686
Bragg74-int8,0.0260779,0.0471191,0.0241699,,,0.02771
Bragg75-int8,0.0241674,0.0438232,0.0217285,,,0.0258789
Bragg76-int8,0.0262316,0.0456543,0.024292,,,0.027832
Bragg77-int8,0.0210246,0.0406494,0.0186768,,,0.0227051
Bragg78-int8,0.0263548,0.0495605,0.0244141,,,0.0280762
Bragg79-int8,0.0294262,0.0469971,0.0264282,,,0.0315247
Bragg7-int8,0.0296334,0.295654,0.0263672,,,0.0319824
Bragg80-int8,0.0258093,0.0456543,0.0239258,,,0.0273438
Bragg81-int8,0.0264728,0.220215,0.0244141,,,0.0281982
Bragg82-int8,0.0262829,0.110718,0.0244141,,,0.0280762
Bragg83-int8,0.0266058,0.28717,0.0245361,,,0.0283203
Bragg84-int8,0.0233252,0.0623779,0.0205078,,,0.0250244
Bragg85-int8,0.0257184,0.0484009,0.0239258,,,0.0273438
Bragg86-int8,0.026186,0.0496826,0.0244141,,,0.027832
Bragg87-int8,0.0260017,0.055603,0.0241699,,,0.0275879
Bragg88-int8,0.0263887,0.0535889,0.0245361,,,0.0280762
Bragg89-int8,0.0213209,0.282593,0.0183105,,,0.0229492
Bragg8-int8,0.032044,0.0603027,0.0290527,,,0.0343018
