Engine File,Mean Latency (ms),Max Latency (ms),Min Latency (ms),90th Percentile Latency (ms),95th Percentile Latency (ms),99th Percentile Latency (ms)
Bragg0-int8,0.0273261,0.0545654,0.0250854,,,0.0290527
Bragg10-int8,0.0194239,0.0494385,0.0166016,,,0.0212402
Bragg11-int8,0.0224583,0.0961914,0.0197754,,,0.0241699
Bragg12-int8,0.0214079,0.0499268,0.0183105,,,0.0235596
Bragg13-int8,0.0245132,0.0524902,0.0221863,,,0.0262451
Bragg14-int8,0.0193487,0.0523682,0.0163574,,,0.0209351
Bragg15-int8,0.0222623,0.0511475,0.0197754,,,0.0238037
Bragg16-int8,0.0269679,0.0535889,0.0244141,,,0.0286865
Bragg17-int8,0.019592,0.0456543,0.0169678,,,0.0216064
Bragg18-int8,0.0221399,0.0537109,0.0192871,,,0.0239258
Bragg19-int8,0.0196635,0.0461426,0.0170898,,,0.0213623
Bragg1-int8,0.0203073,0.0467529,0.0175781,,,0.0222168
Bragg20-int8,0.0194029,0.327515,0.0167236,,,0.0212402
Bragg21-int8,0.0223528,0.0618896,0.0192871,,,0.0241699
Bragg22-int8,0.0225636,0.143311,0.0195312,,,0.0244141
Bragg23-int8,0.0300326,0.0544434,0.0270996,,,0.0320435
Bragg24-int8,0.0244648,0.0566406,0.0222168,,,0.026123
Bragg25-int8,0.0221262,0.0651855,0.0195312,,,0.0236816
Bragg26-int8,0.0241699,0.0467529,0.0219727,,,0.026123
Bragg27-int8,0.0300339,0.0489502,0.0270996,,,0.0314941
Bragg28-int8,0.0295891,0.141846,0.0266113,,,0.03125
Bragg29-int8,0.0271514,0.0571289,0.0246582,,,0.0289917
Bragg2-int8,0.0201239,0.0458984,0.0170898,,,0.0222168
Bragg30-int8,0.0243385,0.0541992,0.0219727,,,0.0262451
Bragg31-int8,0.024069,0.0445557,0.0217285,,,0.026001
Bragg32-int8,0.027586,0.0458984,0.0249023,,,0.029541
Bragg33-int8,0.0247235,0.0563965,0.0222168,,,0.0263672
Bragg34-int8,0.02447,0.0491943,0.0223389,,,0.0263672
Bragg35-int8,0.0244805,0.282959,0.0219727,,,0.0263672
Bragg36-int8,0.0245002,0.143738,0.0222168,,,0.0263672
Bragg37-int8,0.0275724,0.055542,0.0251465,,,0.029541
Bragg38-int8,0.0270436,0.0572205,0.0246582,,,0.0285645
Bragg39-int8,0.0230317,0.0487061,0.0200195,,,0.0252075
Bragg3-int8,0.0199879,0.0465088,0.0168457,,,0.0220947
Bragg40-int8,0.0225743,0.332153,0.0195312,,,0.0243835
Bragg41-int8,0.0227111,0.0439453,0.0195312,,,0.0249023
Bragg42-int8,0.0269348,0.0527344,0.0244141,,,0.0286865
Bragg43-int8,0.0249686,0.0505371,0.0224609,,,0.0266113
Bragg44-int8,0.0248147,0.0587158,0.0227051,,,0.0263977
Bragg45-int8,0.027214,0.050293,0.0244141,,,0.0289307
Bragg46-int8,0.0270222,0.0513916,0.0246582,,,0.0288086
Bragg47-int8,0.0275298,0.0537109,0.0249023,,,0.0294189
Bragg48-int8,0.0273109,0.0537109,0.0246582,,,0.0291748
Bragg49-int8,0.0226834,0.0458984,0.0197754,,,0.0244141
Bragg4-int8,0.0193803,0.266296,0.0167236,,,0.0211792
Bragg50-int8,0.0219445,0.0477295,0.0192871,,,0.0236816
Bragg51-int8,0.0307683,0.123169,0.02771,,,0.032959
Bragg52-int8,0.0244396,0.0556641,0.0219727,,,0.0263672
Bragg53-int8,0.0242405,0.230957,0.0217285,,,0.026123
Bragg54-int8,0.0224278,0.0576172,0.0197754,,,0.0240479
Bragg55-int8,0.0239897,0.0623779,0.0217285,,,0.0258789
Bragg56-int8,0.0243566,0.0576172,0.0219116,,,0.0263672
Bragg57-int8,0.0244764,0.0498047,0.0224609,,,0.0262451
Bragg58-int8,0.0246598,0.0571289,0.0224609,,,0.0263672
Bragg59-int8,0.0239298,0.0516357,0.0217285,,,0.0258789
Bragg5-int8,0.0193689,0.0487061,0.0166016,,,0.0211182
Bragg60-int8,0.0244945,0.0626831,0.022583,,,0.0262451
Bragg61-int8,0.0249478,0.0471191,0.0229492,,,0.0268555
Bragg62-int8,0.0271645,0.05896,0.0244751,,,0.0288391
Bragg63-int8,0.0306442,0.0560303,0.027832,,,0.0323486
Bragg64-int8,0.027712,0.0552368,0.0252686,,,0.0297852
Bragg65-int8,0.0243846,0.0479736,0.0219727,,,0.0263672
Bragg66-int8,0.0270981,0.0499268,0.0246582,,,0.0288086
Bragg67-int8,0.0268907,0.0551758,0.0244141,,,0.0285645
Bragg68-int8,0.0269786,0.0592041,0.0246582,,,0.0286713
Bragg69-int8,0.0241818,0.0469971,0.0219727,,,0.0258789
Bragg6-int8,0.0195937,0.106934,0.0167847,,,0.0215454
Bragg70-int8,0.0201467,0.0439453,0.0172119,,,0.0222168
Bragg71-int8,0.0269138,0.055542,0.0244141,,,0.0283813
Bragg72-int8,0.0226589,0.0534668,0.0195923,,,0.0246582
Bragg73-int8,0.0221047,0.0490723,0.019043,,,0.0241699
Bragg74-int8,0.0236002,0.0446777,0.0214844,,,0.0253906
Bragg75-int8,0.0222178,0.0491943,0.0195923,,,0.0241699
Bragg76-int8,0.0245108,0.0545654,0.0222168,,,0.0263672
Bragg77-int8,0.0194605,0.0523682,0.0170288,,,0.0209961
Bragg78-int8,0.0240372,0.250488,0.0217285,,,0.0258789
Bragg79-int8,0.0277805,0.0482178,0.0249023,,,0.0296631
Bragg7-int8,0.029606,0.0646973,0.0267944,,,0.0311279
Bragg80-int8,0.02369,0.050415,0.0214844,,,0.0255127
Bragg81-int8,0.024766,0.0445557,0.0222168,,,0.0264893
Bragg82-int8,0.0246002,0.0500488,0.0223999,,,0.0266113
Bragg83-int8,0.0247428,0.050415,0.0219727,,,0.0264282
Bragg84-int8,0.0220492,0.0466919,0.019043,,,0.0239258
Bragg85-int8,0.0245741,0.0568848,0.0224609,,,0.0263672
