Engine File,Mean Latency (ms),Max Latency (ms),Min Latency (ms),90th Percentile Latency (ms),95th Percentile Latency (ms),99th Percentile Latency (ms)
Ptycho0,2.41203,22.8562,2.17834,,,7.25986
Ptycho10,0.875507,1.53485,0.838989,,,1.2016
Ptycho11,7.01124,18.3567,3.21094,,,18.3374
Ptycho12,2.86926,23.1145,2.15112,,,23.0668
Ptycho13,2.79319,4.084,2.73584,,,3.21455
Ptycho14,1.44387,8.75743,1.33862,,,2.47641
Ptycho15,1.17419,1.7471,1.15283,,,1.28348
Ptycho16,1.49728,5.05574,1.44824,,,2.04398
Ptycho17,2.83001,4.15256,2.76917,,,3.90921
Ptycho18,1.423,2.27185,1.34729,,,2.22012
Ptycho19,1.85018,2.72621,1.80347,,,2.59622
Ptycho1,2.20055,3.1861,2.15234,,,2.92879
Ptycho20,1.64319,6.38791,1.54443,,,2.53683
Ptycho21,1.85734,2.7193,1.81506,,,2.10106
Ptycho22,1.4232,2.33054,1.37964,,,1.55069
Ptycho23,1.8096,2.77901,1.75647,,,2.66832
Ptycho24,11.2611,11.3967,11.1674,,,11.3867
Ptycho25,1.49939,2.32509,1.45837,,,1.60213
Ptycho26,1.99632,4.65149,1.79297,,,4.61697
Ptycho27,2.73748,16.6265,2.5542,,,5.37915
Ptycho28,4.40423,5.94824,4.33643,,,5.39496
Ptycho29,2.5118,3.82584,2.45654,,,2.69022
Ptycho2,2.30845,3.73178,2.23657,,,3.21204
Ptycho30,3.29289,4.9071,3.21729,,,4.19186
Ptycho31,2.56545,3.93817,2.50586,,,2.71342
Ptycho32,1.7467,2.66638,1.70044,,,2.31189
Ptycho33,1.64616,2.745,1.60229,,,1.73346
Ptycho34,2.27255,3.51447,2.21851,,,2.73642
Ptycho35,1.5138,2.58263,1.46851,,,1.86377
Ptycho36,1.58376,3.48087,1.45386,,,2.99039
Ptycho37,1.71292,3.23456,1.64404,,,2.78491
Ptycho38,1.26416,1.36072,1.23657,,,1.34393
Ptycho39,1.52993,6.03622,1.43799,,,2.74277
Ptycho3,2.0398,8.65056,1.94751,,,3.25375
Ptycho40,0.943732,1.51221,0.869873,,,1.4696
Ptycho41,2.31967,3.47169,2.23828,,,3.33752
Ptycho42,2.20219,3.36935,2.14648,,,2.87386
Ptycho43,1.46056,2.49069,1.41016,,,1.86279
Ptycho44,1.58257,2.77023,1.4917,,,2.64352
Ptycho45,1.89126,3.28076,1.84106,,,2.02663
Ptycho46,1.9382,3.21085,1.8728,,,2.84344
Ptycho47,1.7885,2.95895,1.73938,,,1.91562
Ptycho48,1.69318,2.75742,1.64282,,,1.79271
Ptycho49,1.21935,1.82277,1.18555,,,1.79062
Ptycho4,4.28539,6.26424,4.19165,,,5.47418
Ptycho50,1.69283,3.08905,1.65186,,,1.80322
Ptycho51,2.37948,3.8231,2.30396,,,2.83836
Ptycho52,2.37144,3.59773,2.3064,,,2.9292
Ptycho53,1.29899,11.3251,1.06055,,,11.1768
Ptycho54,1.16043,2.17407,1.10278,,,1.76379
Ptycho55,1.38791,2.42418,1.33301,,,1.94995
Ptycho56,2.57138,10.3271,1.80835,,,10.2881
Ptycho57,1.54859,7.42506,1.47717,,,2.72272
Ptycho58,7.85852,34.4834,3.15527,,,33.8387
Ptycho59,1.65456,2.72791,1.60144,,,2.14365
Ptycho5,1.28138,1.99248,1.24963,,,1.37146
Ptycho60,1.39137,2.39471,1.3501,,,1.49286
Ptycho61,1.61634,2.72935,1.54053,,,2.6669
Ptycho62,1.31155,1.47015,1.27612,,,1.44943
Ptycho63,2.1879,3.73517,2.14404,,,2.31244
Ptycho64,1.74402,2.73051,1.6936,,,1.86617
Ptycho65,2.33074,3.62334,2.2688,,,2.55661
Ptycho66,1.46926,2.48529,1.41077,,,1.76366
Ptycho67,2.47057,4.08537,2.41895,,,2.61589
Ptycho68,2.49574,4.67227,2.23999,,,4.04591
Ptycho69,2.04218,3.52489,1.9834,,,2.27026
Ptycho6,1.19588,5.77544,1.0979,,,4.18851
Ptycho70,1.87102,3.32664,1.82642,,,1.98987
Ptycho71,1.5788,2.83862,1.54004,,,1.70044
Ptycho72,1.22614,2.0961,1.19043,,,1.3208
Ptycho73,2.12295,3.43915,2.07446,,,2.2348
Ptycho74,2.10804,3.5316,2.06006,,,2.23279
Ptycho75,2.81058,4.25403,2.74365,,,3.88213
Ptycho76,1.73421,10.9122,1.58813,,,3.45895
Ptycho77,2.36211,4.16959,2.2887,,,3.79018
Ptycho78,1.91444,2.05762,1.86597,,,2.04623
Ptycho79,3.26574,4.79875,3.19745,,,3.57332
Ptycho7,4.29974,6.0601,4.22351,,,5.30559
Ptycho80,2.55712,3.90381,2.49487,,,3.24484
Ptycho81,1.73219,2.61903,1.68018,,,2.53081
Ptycho82,1.6732,2.73901,1.61108,,,2.7077
Ptycho83,1.92008,3.06485,1.87231,,,2.02106
Ptycho84,1.6914,2.80089,1.64917,,,2.0042
Ptycho85,2.37693,3.84242,2.31079,,,3.24454
Ptycho86,1.15112,1.78038,1.11157,,,1.72531
Ptycho87,1.38589,2.44046,1.33167,,,1.55594
Ptycho88,1.86758,3.24637,1.81543,,,2.05074
Ptycho89,1.53644,3.15479,1.48975,,,1.64972
Ptycho8,3.74317,7.69949,3.60181,,,5.46194
Ptycho90,1.40411,2.28995,1.34985,,,2.18814
Ptycho91,2.33269,7.89162,1.79639,,,7.14328
Ptycho92,1.66983,2.59105,1.61816,,,2.52364
Ptycho93,1.85861,2.65002,1.81421,,,2.61247
Ptycho94,1.80601,2.7625,1.75635,,,2.59741
Ptycho95,2.06409,3.17345,2.01135,,,2.70563
Ptycho96,2.37609,3.60535,2.31616,,,3.24258
Ptycho97,1.09852,1.7077,1.06018,,,1.64658
Ptycho98,1.14844,1.81084,1.10852,,,1.73442
Ptycho99,1.57593,2.8394,1.53955,,,1.68433
Ptycho9,2.66465,4.24608,2.57471,,,4.01938
