Engine File,Mean Latency (ms),Max Latency (ms),Min Latency (ms),90th Percentile Latency (ms),95th Percentile Latency (ms),99th Percentile Latency (ms)
Ptycho0,0.825584,1.07166,0.753296,,,1.04492
Ptycho10,0.293376,0.315186,0.280273,,,0.299927
Ptycho11,1.19102,1.61526,1.12308,,,1.5874
Ptycho12,0.695101,0.93927,0.656982,,,0.915558
Ptycho13,0.888012,1.1853,0.823364,,,1.15698
Ptycho14,0.525955,1.47794,0.469727,,,1.27792
Ptycho15,0.56082,0.581299,0.527496,,,0.569092
Ptycho16,0.644409,0.877502,0.599731,,,0.855957
Ptycho17,1.14187,1.5784,1.08209,,,1.54749
Ptycho18,0.567014,0.788055,0.528931,,,0.765045
Ptycho19,0.637287,0.891724,0.594971,,,0.861176
Ptycho1,0.945885,1.34692,0.896851,,,1.30676
Ptycho20,0.59573,0.838318,0.550842,,,0.778625
Ptycho21,0.677888,0.922058,0.631348,,,0.873932
Ptycho22,0.661814,0.92981,0.616699,,,0.689758
Ptycho23,0.557702,1.24402,0.513855,,,0.745483
Ptycho24,0.634713,0.89798,0.596313,,,0.8685
Ptycho25,0.475112,0.498779,0.450439,,,0.484131
Ptycho26,0.643859,0.889526,0.599121,,,0.870697
Ptycho27,0.694524,0.927612,0.653076,,,0.906311
Ptycho28,1.04055,1.35994,1.00085,,,1.34067
Ptycho29,0.655167,0.874969,0.615112,,,0.84671
Ptycho2,0.802247,1.14297,0.757874,,,1.11182
Ptycho30,0.875173,1.20633,0.825867,,,1.177
Ptycho31,0.664011,0.889832,0.62085,,,0.869324
Ptycho32,0.570935,1.11914,0.530029,,,0.873505
Ptycho33,0.584711,0.816711,0.54248,,,0.795502
Ptycho34,0.59104,2.95174,0.535156,,,1.0285
Ptycho35,0.507636,0.72226,0.482666,,,0.688629
Ptycho36,0.510263,0.798096,0.480957,,,0.518356
Ptycho37,0.442034,0.472656,0.409698,,,0.448975
Ptycho38,0.39737,0.960449,0.378784,,,0.405029
Ptycho39,0.486603,0.505371,0.467285,,,0.494873
Ptycho3,0.609717,0.807343,0.570068,,,0.785614
Ptycho40,0.324117,0.352051,0.312073,,,0.331543
Ptycho41,0.851245,2.39197,0.781006,,,1.2601
Ptycho42,0.652908,0.901306,0.612976,,,0.869507
