Engine File,Mean Latency (ms),Max Latency (ms),Min Latency (ms),90th Percentile Latency (ms),95th Percentile Latency (ms),99th Percentile Latency (ms)
Bragg0-int8,0.0301431,0.0532227,0.0274658,,,0.0317383
Bragg10-int8,0.0255683,0.0489502,0.0235596,,,0.0274658
Bragg11-int8,0.0285042,0.0510254,0.0258789,,,0.0302734
Bragg12-int8,0.0352892,0.0537109,0.0321045,,,0.0378418
Bragg13-int8,0.0218739,0.0579224,0.019165,,,0.0236816
Bragg14-int8,0.0265041,0.0499268,0.0240479,,,0.0280762
Bragg15-int8,0.0249454,0.0495605,0.0228271,,,0.0268555
Bragg16-int8,0.0241831,0.0498047,0.0222168,,,0.0258789
Bragg17-int8,0.0303728,0.0507812,0.0276794,,,0.0319824
Bragg18-int8,0.0331053,0.0546265,0.0303955,,,0.0354004
Bragg19-int8,0.0291738,0.0548096,0.0266113,,,0.0308838
Bragg1-int8,0.0239336,0.0527954,0.0217285,,,0.0256653
Bragg20-int8,0.0305581,0.0602417,0.0275879,,,0.0324707
Bragg21-int8,0.0299867,0.0578613,0.0270996,,,0.0314941
Bragg22-int8,0.039026,0.0656738,0.0358887,,,0.041748
Bragg23-int8,0.0328577,0.0515137,0.0300293,,,0.0351562
Bragg24-int8,0.0296921,0.0507812,0.0268555,,,0.031311
Bragg25-int8,0.0293879,0.0539551,0.0266113,,,0.0308838
Bragg26-int8,0.0302938,0.0508423,0.0275879,,,0.0325317
Bragg27-int8,0.0229097,0.0471191,0.0206451,,,0.0246582
Bragg28-int8,0.0269645,0.0529785,0.0249023,,,0.0288086
Bragg29-int8,0.0278916,0.0463867,0.0257568,,,0.0297852
Bragg2-int8,0.0316184,0.0551758,0.0285645,,,0.0344849
Bragg30-int8,0.0234257,0.0604248,0.0212402,,,0.0251465
Bragg31-int8,0.0444223,0.0708008,0.0410156,,,0.0492554
Bragg32-int8,0.0424187,0.0786133,0.0386963,,,0.0448761
Bragg33-int8,0.0369497,0.0651855,0.0339355,,,0.0396118
Bragg34-int8,0.0227871,0.0455322,0.0203857,,,0.0245361
Bragg35-int8,0.0316761,0.0550537,0.0290527,,,0.0345764
Bragg36-int8,0.0272999,0.0495605,0.0248413,,,0.0291138
Bragg37-int8,0.0223212,0.043457,0.0195312,,,0.0239258
Bragg38-int8,0.0205176,0.0395508,0.0180664,,,0.0223541
Bragg39-int8,0.0325364,0.0544434,0.0297852,,,0.0349121
Bragg3-int8,0.0164389,0.0422363,0.0137024,,,0.0181885
Bragg40-int8,0.0213574,0.0391846,0.0185547,,,0.0231323
Bragg41-int8,0.0208804,0.0458984,0.0180054,,,0.0227051
Bragg42-int8,0.0301013,0.0548096,0.0275879,,,0.0317383
Bragg43-int8,0.0268151,0.048584,0.0244141,,,0.0286255
Bragg44-int8,0.0250708,0.0441895,0.0224609,,,0.0267334
Bragg45-int8,0.0270434,0.0567627,0.0246582,,,0.0290527
Bragg46-int8,0.0243551,0.0506592,0.0222168,,,0.0260162
Bragg47-int8,0.027323,0.0478516,0.0246582,,,0.0289307
Bragg48-int8,0.0275565,0.0463867,0.0249023,,,0.029541
Bragg49-int8,0.0238225,0.0548096,0.0214844,,,0.0257568
Bragg4-int8,0.0164495,0.0358887,0.013916,,,0.0180664
Bragg50-int8,0.0210787,0.0455322,0.0183105,,,0.0228271
Bragg51-int8,0.0287565,0.569763,0.0264282,,,0.0305176
Bragg52-int8,0.0303278,0.0521545,0.0274658,,,0.0319824
Bragg53-int8,0.0309636,0.0533447,0.0284424,,,0.0334473
Bragg54-int8,0.0302022,0.059082,0.0273438,,,0.0318604
Bragg55-int8,0.0316965,0.0567627,0.0290527,,,0.034668
Bragg56-int8,0.0311231,0.0977783,0.0283203,,,0.0336914
Bragg57-int8,0.0321268,0.054718,0.0292969,,,0.0349121
Bragg58-int8,0.0330645,0.0567627,0.0302734,,,0.0354004
Bragg59-int8,0.0304693,0.312012,0.02771,,,0.0322266
Bragg5-int8,0.0284993,0.0517578,0.0258789,,,0.0302734
Bragg60-int8,0.0287393,0.0494385,0.0262451,,,0.0305176
Bragg61-int8,0.0268086,0.0466309,0.0244141,,,0.0285645
Bragg62-int8,0.0331223,0.0584106,0.0300293,,,0.0356445
Bragg63-int8,0.0354153,0.0605469,0.0317383,,,0.0385742
Bragg64-int8,0.0419911,0.0712891,0.0385742,,,0.0443726
Bragg65-int8,0.0376828,0.0667725,0.0349121,,,0.0402832
Bragg66-int8,0.0364931,0.0631714,0.0334473,,,0.0391846
Bragg67-int8,0.0358065,0.0818481,0.032959,,,0.0385742
Bragg68-int8,0.0490176,0.0727539,0.0449219,,,0.0523682
Bragg69-int8,0.0359966,0.0622559,0.032959,,,0.0388184
Bragg6-int8,0.024382,0.0499268,0.0223389,,,0.026062
Bragg70-int8,0.0446696,0.0742188,0.0408325,,,0.0495605
Bragg71-int8,0.0433706,0.0877686,0.0388794,,,0.0474854
Bragg72-int8,0.0383688,0.0715332,0.0356445,,,0.0407715
Bragg73-int8,0.0356483,0.059082,0.0327148,,,0.0382385
Bragg74-int8,0.0365759,0.193756,0.0334473,,,0.0393066
Bragg75-int8,0.0261032,0.046875,0.0238953,,,0.027832
Bragg76-int8,0.0332095,0.0996094,0.0300293,,,0.0356445
Bragg77-int8,0.0312822,0.0561523,0.0288086,,,0.0335083
Bragg78-int8,0.0330083,0.0552979,0.0302734,,,0.0354004
Bragg79-int8,0.0359745,0.0715332,0.0327148,,,0.0386963
Bragg7-int8,0.0249183,0.0480957,0.0229492,,,0.0267334
Bragg80-int8,0.031831,0.057373,0.0290527,,,0.034668
Bragg81-int8,0.0352363,0.0493164,0.0319824,,,0.0378418
Bragg82-int8,0.0219477,0.0419922,0.0192871,,,0.0236816
Bragg83-int8,0.0376049,0.0600586,0.0349121,,,0.0400391
Bragg84-int8,0.0328477,0.0546875,0.0299683,,,0.0353699
Bragg85-int8,0.0353893,0.0627441,0.0319824,,,0.0379639
Bragg86-int8,0.0355836,0.0529785,0.0322266,,,0.0380859
Bragg87-int8,0.0309406,0.119247,0.0283203,,,0.0333557
Bragg88-int8,0.0353979,0.0598145,0.0322266,,,0.0380859
Bragg89-int8,0.0317905,0.0562744,0.0292969,,,0.034668
Bragg8-int8,0.0277533,0.30957,0.0251465,,,0.0297241
