Engine File,Mean Latency (ms),Max Latency (ms),Min Latency (ms),90th Percentile Latency (ms),95th Percentile Latency (ms),99th Percentile Latency (ms)
Bragg0-int8,0.0271274,0.0528564,0.0247803,,,0.029007
Bragg10-int8,0.0166373,0.0490723,0.013916,,,0.0183105
Bragg11-int8,0.0216146,0.0543213,0.0192871,,,0.0232544
Bragg12-int8,0.0168912,0.043335,0.0137939,,,0.0185547
Bragg13-int8,0.0249043,0.311768,0.0229492,,,0.0266724
Bragg14-int8,0.0164026,0.0407715,0.013916,,,0.0180054
Bragg15-int8,0.0165082,0.0484619,0.013916,,,0.0183105
Bragg16-int8,0.0270355,0.0482178,0.0244751,,,0.0288544
Bragg17-int8,0.0168414,0.0440674,0.013916,,,0.0187988
Bragg18-int8,0.0200537,0.0490723,0.017334,,,0.0217285
Bragg19-int8,0.0169894,0.347107,0.013916,,,0.0187988
Bragg1-int8,0.016833,0.0344238,0.013916,,,0.0185547
Bragg20-int8,0.0165554,0.62442,0.013916,,,0.0183105
Bragg21-int8,0.021129,0.215698,0.0183105,,,0.0230103
Bragg22-int8,0.0205511,0.0466309,0.0180664,,,0.0222778
Bragg23-int8,0.0300616,0.0516968,0.0273438,,,0.0315857
Bragg24-int8,0.023412,0.318115,0.0210571,,,0.0252686
Bragg25-int8,0.021743,0.0483398,0.0187988,,,0.0237732
Bragg26-int8,0.0239519,0.0452881,0.0217285,,,0.0257568
Bragg27-int8,0.0299193,0.05896,0.0274658,,,0.0313721
Bragg28-int8,0.0285003,0.048584,0.026123,,,0.0303345
Bragg29-int8,0.0271575,0.0495605,0.0244141,,,0.0289307
Bragg2-int8,0.0165819,0.0356445,0.0141602,,,0.0183105
Bragg30-int8,0.0234186,0.0570068,0.0212402,,,0.0253296
Bragg31-int8,0.0239898,0.0440674,0.0214844,,,0.0258789
Bragg32-int8,0.0273354,0.0463867,0.0246582,,,0.0292969
Bragg33-int8,0.0246691,0.0444336,0.0224609,,,0.0263672
Bragg34-int8,0.0247718,0.327271,0.0222168,,,0.0266724
Bragg35-int8,0.0242753,0.0496216,0.0222168,,,0.0260315
Bragg36-int8,0.0230752,0.0447998,0.020752,,,0.0249023
Bragg37-int8,0.0267622,0.0677948,0.0241699,,,0.0288086
Bragg38-int8,0.0268837,0.0706787,0.0241699,,,0.0286865
Bragg39-int8,0.02205,0.0465088,0.0197754,,,0.0238037
Bragg3-int8,0.0165335,0.0393066,0.0140991,,,0.0180664
Bragg40-int8,0.0209898,0.0410156,0.0184326,,,0.0227051
Bragg41-int8,0.0205461,0.0378418,0.0178223,,,0.022583
Bragg42-int8,0.0266217,0.0625,0.0241699,,,0.0283203
Bragg43-int8,0.0239463,0.0456543,0.0214844,,,0.0258789
Bragg44-int8,0.023825,0.0527344,0.0216064,,,0.0257874
Bragg45-int8,0.0266919,0.0551758,0.0241699,,,0.0284424
Bragg46-int8,0.0269372,0.0461426,0.0244141,,,0.0286865
Bragg47-int8,0.0271196,0.048584,0.0246582,,,0.0291748
Bragg48-int8,0.0268734,0.0587158,0.0244141,,,0.0288086
Bragg49-int8,0.0206534,0.322998,0.0178223,,,0.0224609
Bragg4-int8,0.0163758,0.0430908,0.0140381,,,0.0180054
Bragg50-int8,0.0202121,0.0401611,0.0178223,,,0.0219727
Bragg51-int8,0.0296329,0.0532227,0.0267334,,,0.03125
Bragg52-int8,0.0238746,0.043457,0.0217285,,,0.0257568
Bragg53-int8,0.0244199,0.0458984,0.0224609,,,0.026123
Bragg54-int8,0.0203593,0.0439453,0.0180664,,,0.0222168
Bragg55-int8,0.023338,0.0463867,0.0209961,,,0.0251465
Bragg56-int8,0.0236052,0.0407715,0.0214844,,,0.0255127
Bragg57-int8,0.0247532,0.0457764,0.0222168,,,0.0266113
Bragg58-int8,0.0237377,0.0483398,0.0217285,,,0.0254517
Bragg59-int8,0.0239516,0.235962,0.0214844,,,0.0258789
Bragg5-int8,0.0172363,0.0476074,0.0141602,,,0.019165
Bragg60-int8,0.0244927,0.0541992,0.0224609,,,0.0262451
Bragg61-int8,0.0246141,0.0817871,0.0224609,,,0.0266113
Bragg62-int8,0.0265903,0.0546875,0.0241699,,,0.0285645
Bragg63-int8,0.0304616,0.0587158,0.0280762,,,0.0326538
Bragg64-int8,0.0267836,0.0458984,0.0241699,,,0.0285645
Bragg65-int8,0.023532,0.0494385,0.0212402,,,0.0253906
Bragg66-int8,0.0263842,0.0501709,0.0239258,,,0.0280762
Bragg67-int8,0.0270131,0.048584,0.0246582,,,0.0288086
Bragg68-int8,0.0268166,0.0441895,0.0239258,,,0.0285645
Bragg69-int8,0.024332,0.0454102,0.0217285,,,0.026123
Bragg6-int8,0.0164683,0.0350342,0.013916,,,0.0180969
Bragg70-int8,0.0169778,0.0422974,0.013916,,,0.0187378
Bragg71-int8,0.0268898,0.0517578,0.0244141,,,0.0285645
Bragg72-int8,0.0223489,0.0477295,0.0196533,,,0.024292
Bragg73-int8,0.0207709,0.0489502,0.0178223,,,0.0227051
Bragg74-int8,0.0232743,0.0437012,0.0209961,,,0.0250854
Bragg75-int8,0.0202442,0.0620117,0.0175781,,,0.0222778
Bragg76-int8,0.0238911,0.0446777,0.0217285,,,0.0256348
Bragg77-int8,0.0166336,0.0501709,0.013916,,,0.0183105
Bragg78-int8,0.0241147,0.0489502,0.0219727,,,0.026001
Bragg79-int8,0.0265062,0.0518799,0.0236816,,,0.0280762
Bragg7-int8,0.0268763,0.052002,0.0244141,,,0.0286865
