Engine File,Mean Latency (ms),Max Latency (ms),Min Latency (ms),90th Percentile Latency (ms),95th Percentile Latency (ms),99th Percentile Latency (ms)
Bragg0-int8,0.0301257,0.067749,0.0270996,,,0.0317383
Bragg10-int8,0.0259615,0.0561829,0.0239258,,,0.02771
Bragg11-int8,0.0305041,0.0665283,0.0274353,,,0.0323486
Bragg12-int8,0.0368341,0.0632324,0.0335083,,,0.0391846
Bragg13-int8,0.0230613,0.0640869,0.0205078,,,0.0249023
Bragg14-int8,0.0273967,0.0639648,0.0248413,,,0.0289307
Bragg15-int8,0.0255107,0.254395,0.0231934,,,0.0272217
Bragg16-int8,0.0254231,0.0622559,0.0229492,,,0.0270386
Bragg17-int8,0.0301296,0.0976562,0.0273438,,,0.0317383
Bragg18-int8,0.0343006,0.0619812,0.03125,,,0.0365906
Bragg19-int8,0.0300121,0.0577393,0.0269775,,,0.0317383
Bragg1-int8,0.0240169,0.0583496,0.0218506,,,0.0258789
Bragg20-int8,0.032055,0.0588379,0.029541,,,0.0341797
Bragg21-int8,0.0304092,0.299744,0.0271606,,,0.0322266
Bragg22-int8,0.0408869,0.0766602,0.0380859,,,0.0429688
Bragg23-int8,0.0352295,0.0588379,0.0319824,,,0.0375977
Bragg24-int8,0.0305679,0.0708618,0.027771,,,0.0325928
Bragg25-int8,0.0309263,0.0657959,0.0279541,,,0.0332031
Bragg26-int8,0.0309419,0.0567627,0.0285645,,,0.032959
Bragg27-int8,0.023805,0.284546,0.0214844,,,0.0256348
Bragg28-int8,0.0285866,0.0631104,0.026123,,,0.0305176
Bragg29-int8,0.0306113,0.06604,0.0273438,,,0.0328674
Bragg2-int8,0.0329237,0.0515747,0.0297852,,,0.0352173
Bragg30-int8,0.0237327,0.0559082,0.0213623,,,0.0256348
Bragg31-int8,0.0467611,0.0904388,0.0415039,,,0.0560913
Bragg32-int8,0.0499005,0.0737305,0.0458527,,,0.0535889
Bragg33-int8,0.0381877,0.0651855,0.0354004,,,0.0402832
Bragg34-int8,0.0234466,0.393799,0.0209961,,,0.0252075
Bragg35-int8,0.0312896,0.0587158,0.0290527,,,0.0333252
Bragg36-int8,0.0279119,0.0611572,0.0250244,,,0.0303345
Bragg37-int8,0.0230682,0.282349,0.0205078,,,0.0249023
Bragg38-int8,0.0228103,0.050293,0.0196533,,,0.0249634
Bragg39-int8,0.0342075,0.0627441,0.0312195,,,0.0363159
Bragg3-int8,0.0197716,0.0515137,0.017334,,,0.0212402
Bragg40-int8,0.023009,0.0469971,0.0202637,,,0.0244141
Bragg41-int8,0.0223641,0.0600586,0.0197754,,,0.0241699
Bragg42-int8,0.0314205,0.0566406,0.0290527,,,0.0336914
Bragg43-int8,0.0278605,0.321533,0.0250854,,,0.0302734
Bragg44-int8,0.0261794,0.0668335,0.0239258,,,0.027832
Bragg45-int8,0.0299904,0.0579834,0.0268555,,,0.0318604
Bragg46-int8,0.0252875,0.0974121,0.0234375,,,0.0268555
Bragg47-int8,0.0276294,0.15271,0.0251465,,,0.029541
Bragg48-int8,0.0295896,0.0651855,0.0262451,,,0.0316162
Bragg49-int8,0.0248735,0.0566406,0.0224609,,,0.0267334
Bragg4-int8,0.0202259,0.0695801,0.017334,,,0.0217285
Bragg50-int8,0.0225847,0.0585938,0.0202637,,,0.0241699
Bragg51-int8,0.0311927,0.0667725,0.0285645,,,0.032959
Bragg52-int8,0.031159,0.0799561,0.0281982,,,0.0334473
Bragg53-int8,0.0311857,0.0581055,0.0285645,,,0.0333252
Bragg54-int8,0.0302851,0.564941,0.0273438,,,0.0321045
Bragg55-int8,0.0334504,0.0639648,0.0305176,,,0.0357666
Bragg56-int8,0.0306965,0.0671387,0.0280762,,,0.0328369
Bragg57-int8,0.0340629,0.0687103,0.0314941,,,0.036377
Bragg58-int8,0.0342165,0.064209,0.03125,,,0.036499
Bragg59-int8,0.0310794,0.0551758,0.0288086,,,0.0332031
Bragg5-int8,0.0311189,0.234131,0.0275879,,,0.032959
Bragg60-int8,0.0305078,0.0727539,0.0275879,,,0.0321045
Bragg61-int8,0.0276127,0.109375,0.0251465,,,0.0294189
Bragg62-int8,0.0353876,0.0600586,0.0319824,,,0.0375977
Bragg63-int8,0.0350063,0.101196,0.0317383,,,0.0374756
Bragg64-int8,0.0399014,0.0654297,0.0369873,,,0.0422974
Bragg65-int8,0.0505059,0.0759277,0.0467529,,,0.053833
Bragg66-int8,0.0379681,0.065918,0.0351562,,,0.0402832
Bragg67-int8,0.0367753,0.0581055,0.0339355,,,0.0391846
Bragg68-int8,0.0453469,0.0970154,0.041626,,,0.0539246
Bragg69-int8,0.036424,0.0734863,0.0334473,,,0.0388184
Bragg6-int8,0.0249293,0.101807,0.022583,,,0.0268555
Bragg70-int8,0.046401,0.0872498,0.041748,,,0.0552673
Bragg71-int8,0.0466223,0.0710449,0.0429688,,,0.0514526
Bragg72-int8,0.0399015,0.0683594,0.0368652,,,0.0422363
Bragg73-int8,0.0362393,0.0646973,0.0334473,,,0.0385742
Bragg74-int8,0.0375752,0.0686035,0.034729,,,0.0400391
Bragg75-int8,0.0266963,0.12793,0.0244141,,,0.0283203
Bragg76-int8,0.0349257,0.0666504,0.0318604,,,0.0373535
Bragg77-int8,0.0329137,0.0576172,0.0297852,,,0.0354004
Bragg78-int8,0.0349784,0.0678711,0.0318298,,,0.0373535
Bragg79-int8,0.0363327,0.079834,0.0332031,,,0.0385742
Bragg7-int8,0.0268029,0.112061,0.0241699,,,0.0283203
Bragg80-int8,0.0332668,0.0540771,0.0305176,,,0.0358887
Bragg81-int8,0.0372783,0.0761719,0.0340576,,,0.0396729
Bragg82-int8,0.023183,0.0518799,0.020752,,,0.0249023
Bragg83-int8,0.0369794,0.0621033,0.0341797,,,0.0395203
Bragg84-int8,0.0357208,0.0625,0.0322266,,,0.0380859
Bragg85-int8,0.0367333,0.0612793,0.0339355,,,0.0393066
Bragg86-int8,0.0371326,0.065918,0.0341797,,,0.0396118
Bragg87-int8,0.0315183,0.0551758,0.0290527,,,0.0336914
Bragg88-int8,0.0368833,0.0678711,0.0336914,,,0.0393066
Bragg89-int8,0.0333209,0.056778,0.0305176,,,0.0356445
Bragg8-int8,0.0280534,0.0599365,0.0253906,,,0.0307617
Bragg90-int8,0.0369847,0.0803223,0.0341797,,,0.0394287
Bragg91-int8,0.0361953,0.0666504,0.0327148,,,0.0386963
Bragg92-int8,0.0360811,0.060791,0.032959,,,0.038208
Bragg93-int8,0.0274657,0.0635986,0.0249023,,,0.0297089
Bragg94-int8,0.0273901,0.0549316,0.0249023,,,0.0289459
Bragg95-int8,0.0315035,0.0571289,0.0290222,,,0.0336914
Bragg96-int8,0.0309178,0.0716553,0.0280762,,,0.0328369
Bragg97-int8,0.0367367,0.0588379,0.0336914,,,0.0393066
Bragg98-int8,0.0312722,0.313232,0.0275879,,,0.0332031
Bragg99-int8,0.0271666,0.0806885,0.0249023,,,0.0286865
Bragg9-int8,0.0288641,0.0648193,0.026001,,,0.0311279
