Engine File,Mean Latency (ms),Max Latency (ms),Min Latency (ms),90th Percentile Latency (ms),95th Percentile Latency (ms),99th Percentile Latency (ms)
Bragg0-int8,0.0300354,0.0498047,0.0274658,,,0.0316162
Bragg10-int8,0.0256964,0.304932,0.0234375,,,0.0275879
Bragg11-int8,0.0298352,0.0638428,0.0267334,,,0.0317383
Bragg12-int8,0.0345763,0.0600586,0.0314941,,,0.0371094
Bragg13-int8,0.0224468,0.0557861,0.0195312,,,0.0240479
Bragg14-int8,0.0273493,0.0657959,0.0247803,,,0.0292969
Bragg15-int8,0.0249101,0.0460205,0.0227051,,,0.0268555
Bragg16-int8,0.024887,0.0455322,0.0227051,,,0.0266113
Bragg17-int8,0.0286756,0.295166,0.0263672,,,0.0305176
Bragg18-int8,0.0332401,0.0559082,0.0304565,,,0.0354004
Bragg19-int8,0.0297573,0.0500488,0.0273438,,,0.031311
Bragg1-int8,0.0233257,0.050293,0.020752,,,0.0251465
Bragg20-int8,0.0302243,0.117432,0.0275879,,,0.0323486
Bragg21-int8,0.030123,0.336487,0.0273438,,,0.0317383
Bragg22-int8,0.0377895,0.0661621,0.0348511,,,0.0401001
Bragg23-int8,0.0337233,0.0595703,0.0305176,,,0.0361938
Bragg24-int8,0.029976,0.0571289,0.0269165,,,0.0319824
Bragg25-int8,0.0295282,0.0549316,0.0266113,,,0.0314941
Bragg26-int8,0.0309108,0.0626221,0.0281982,,,0.0332031
Bragg27-int8,0.0231957,0.0497437,0.0205078,,,0.0253906
Bragg28-int8,0.0280192,0.0563965,0.0251465,,,0.0300293
Bragg29-int8,0.0286779,0.0500488,0.026123,,,0.0305176
Bragg2-int8,0.031653,0.0570068,0.0288086,,,0.0339813
Bragg30-int8,0.0235847,0.0617676,0.0209961,,,0.0253906
Bragg31-int8,0.0385011,0.605225,0.0356445,,,0.0408936
Bragg32-int8,0.0473596,0.0894775,0.0419922,,,0.0574646
Bragg33-int8,0.0376933,0.0708008,0.0344238,,,0.0401611
Bragg34-int8,0.0227716,0.0405273,0.0202637,,,0.0244293
Bragg35-int8,0.0303879,0.0664062,0.0274658,,,0.0323181
Bragg36-int8,0.0270922,0.0496826,0.0245361,,,0.0289917
Bragg37-int8,0.0222471,0.100525,0.0195312,,,0.0240479
Bragg38-int8,0.0217821,0.0429688,0.0189819,,,0.0234375
Bragg39-int8,0.0322983,0.0499268,0.029541,,,0.0348511
Bragg3-int8,0.0184825,0.105774,0.0158691,,,0.0205078
Bragg40-int8,0.0230219,0.0461426,0.0205078,,,0.0249023
Bragg41-int8,0.0224867,0.0506592,0.0197754,,,0.0245667
Bragg42-int8,0.0306959,0.0483398,0.027832,,,0.03302
Bragg43-int8,0.0269678,0.0512695,0.0244141,,,0.0288086
Bragg44-int8,0.0244274,0.0488281,0.022583,,,0.0262451
Bragg45-int8,0.0284123,0.0556641,0.0253906,,,0.0300903
Bragg46-int8,0.0252311,0.110535,0.0233154,,,0.0271149
Bragg47-int8,0.027258,0.0493164,0.0244141,,,0.0292969
Bragg48-int8,0.0274159,0.284912,0.0249023,,,0.0294189
Bragg49-int8,0.024083,0.0620117,0.0220947,,,0.0258789
Bragg4-int8,0.0184888,0.239258,0.0158691,,,0.0202637
Bragg50-int8,0.0222295,0.0438232,0.0195312,,,0.0239258
Bragg51-int8,0.0297724,0.0606689,0.0269775,,,0.031311
Bragg52-int8,0.0305591,0.0627441,0.0283203,,,0.0325317
Bragg53-int8,0.0307192,0.055481,0.0278625,,,0.0327148
Bragg54-int8,0.0301548,0.0633545,0.0275879,,,0.0317383
