Engine File,Mean Latency (ms),Max Latency (ms),Min Latency (ms),90th Percentile Latency (ms),95th Percentile Latency (ms),99th Percentile Latency (ms)
Ptycho0,6.43871,8.91193,6.34961,,,6.68939
Ptycho10,10.7458,13.3186,10.6361,,,12.4871
Ptycho11,6.61952,6.89777,6.54443,,,6.89026
Ptycho12,11.4307,11.645,11.3641,,,11.6354
Ptycho13,13.5808,15.3384,13.4897,,,13.8125
Ptycho14,3.04843,4.80939,2.98645,,,3.79088
Ptycho15,3.33755,4.98843,3.27386,,,3.53967
Ptycho16,5.67132,8.60626,5.58838,,,5.97607
Ptycho17,2.79475,11.9253,2.6748,,,4.4093
Ptycho18,3.3332,30.0602,2.71326,,,28.9172
Ptycho19,5.18851,8.83859,5.10724,,,5.4624
Ptycho1,5.41705,8.58835,5.32861,,,5.69812
Ptycho20,6.44784,8.66428,6.3418,,,7.14691
Ptycho21,3.11117,5.30446,3.0614,,,3.27441
Ptycho22,11.1129,41.3819,10.2185,,,41.1646
Ptycho23,3.65409,5.69075,3.59485,,,3.81097
Ptycho24,2.47084,4.05954,2.42676,,,2.59882
Ptycho25,6.48812,18.9727,6.14453,,,18.6767
Ptycho26,3.59507,3.76094,3.55127,,,3.74469
Ptycho27,2.98084,4.73573,2.92676,,,3.12347
Ptycho28,1.88731,2.04047,1.85657,,,2.02039
Ptycho29,1.85172,2.01868,1.81079,,,1.99915
Ptycho2,7.69047,10.3595,7.5979,,,7.97839
Ptycho30,2.99325,4.96657,2.94629,,,3.14203
Ptycho31,1.009,1.63715,0.97168,,,1.33093
Ptycho32,2.59661,11.4612,2.45215,,,4.52455
Ptycho33,2.48258,4.73323,2.40271,,,4.52573
Ptycho34,1.47503,2.79344,1.43469,,,1.59229
Ptycho35,8.89567,11.5002,8.78595,,,10.4037
Ptycho36,1.8369,3.56349,1.78577,,,1.99014
Ptycho37,1.81011,1.9917,1.76416,,,1.97168
Ptycho38,1.72288,2.72833,1.66687,,,1.82794
Ptycho39,1.12441,2.45297,1.05103,,,2.35587
Ptycho3,4.36622,6.05418,4.30676,,,4.54413
Ptycho40,2.24542,3.62564,2.18945,,,2.38974
Ptycho41,3.20119,5.34666,3.1311,,,4.56543
Ptycho42,3.14164,19.7447,2.94824,,,6.46045
Ptycho43,14.8085,14.9429,14.749,,,14.925
Ptycho44,2.01567,2.17255,1.98267,,,2.14719
Ptycho45,2.35709,3.99091,2.29688,,,2.5235
Ptycho46,1.70972,3.28699,1.66138,,,1.84827
Ptycho47,2.53356,5.00882,2.29114,,,4.64111
Ptycho48,2.44822,4.16687,2.39868,,,2.5874
Ptycho49,1.90888,4.09392,1.78271,,,2.88702
Ptycho4,4.93021,7.52022,4.82422,,,5.24895
Ptycho50,2.06893,3.6413,2.02673,,,2.20007
Ptycho51,2.72349,4.78769,2.62915,,,4.60022
Ptycho52,2.80296,15.5488,2.33203,,,13.3536
