Engine File,Mean Latency (ms),Max Latency (ms),Min Latency (ms),90th Percentile Latency (ms),95th Percentile Latency (ms),99th Percentile Latency (ms)
Ptycho0,7.52241,11.5606,7.3855,,,8.05145
Ptycho10,2.76717,2.99216,2.72607,,,2.97037
Ptycho11,11.1558,11.717,11.0483,,,11.5999
Ptycho12,7.67751,7.99007,7.60352,,,7.98569
Ptycho13,10.2886,78.8881,9.61475,,,20.9533
Ptycho14,4.55328,4.90472,4.49213,,,4.827
Ptycho15,3.65335,6.24576,3.57715,,,3.92009
Ptycho16,4.9927,8.18004,4.87659,,,6.95026
Ptycho17,9.4146,12.7176,9.28009,,,9.94135
Ptycho18,4.38032,4.64832,4.31982,,,4.61609
Ptycho19,6.43185,10.2745,6.36206,,,6.6991
Ptycho1,12.4253,14.6463,12.2991,,,13.9703
Ptycho20,5.21991,5.52655,5.14697,,,5.49176
Ptycho21,6.38688,9.66121,6.16138,,,9.07184
Ptycho22,4.1727,7.48833,4.06812,,,4.48459
Ptycho23,6.29114,9.85197,6.17407,,,9.07251
Ptycho24,7.02412,7.36081,6.95312,,,7.35031
Ptycho25,5.07314,5.43756,4.96948,,,5.39557
Ptycho26,6.21973,6.50226,6.1665,,,6.4823
Ptycho27,9.18933,9.5455,9.09839,,,9.53726
Ptycho28,16.3552,25.8935,16.1218,,,25.1301
Ptycho29,8.87313,9.3781,8.75269,,,9.20551
Ptycho2,7.78058,11.6643,7.66602,,,8.18243
Ptycho30,11.5472,14.92,11.447,,,11.8559
Ptycho31,9.18568,16.8953,8.93481,,,15.5729
Ptycho32,5.9662,6.25488,5.89868,,,6.22421
Ptycho33,5.63995,5.91428,5.58533,,,5.90503
Ptycho34,89.8847,89.9571,89.8008,,,89.9571
Ptycho35,5.0681,5.42972,5.0094,,,5.33167
Ptycho36,5.03246,8.75327,4.94336,,,6.1368
Ptycho37,5.75063,5.99658,5.69507,,,5.98325
Ptycho38,4.37157,8.35355,4.31677,,,4.61728
Ptycho39,5.09891,8.50252,5.02686,,,5.34317
Ptycho3,7.08617,7.35521,7.02075,,,7.33765
Ptycho40,2.84444,3.0842,2.79663,,,3.05035
Ptycho41,7.8543,11.838,7.76343,,,8.21542
Ptycho42,7.6495,13.5616,7.4751,,,10.5629
Ptycho43,4.85558,5.13643,4.80444,,,5.12836
Ptycho44,5.38592,5.73376,5.30127,,,5.71069
Ptycho45,6.52599,6.90549,6.42529,,,6.8941
Ptycho46,6.77017,12.6304,6.60156,,,9.98572
Ptycho47,6.12537,6.43262,6.06226,,,6.42706
Ptycho48,5.82064,6.11469,5.76343,,,6.08124
Ptycho49,4.09741,10.0584,3.91907,,,9.7168
Ptycho4,15.3347,29.7428,14.6448,,,29.7062
Ptycho50,7.42451,34.9185,5.97632,,,34.8769
Ptycho51,8.41889,45.1983,7.74854,,,44.9763
Ptycho52,14.0032,19.5475,8.00513,,,19.5343
Ptycho53,3.42926,3.67914,3.37695,,,3.65009
Ptycho54,3.73563,4.01822,3.68994,,,3.97632
Ptycho55,4.54197,4.86548,4.45312,,,4.85132
Ptycho56,6.48015,10.403,6.33643,,,8.92426
Ptycho57,5.0734,5.36133,5.02148,,,5.31836
Ptycho58,12.2818,46.114,11.3843,,,45.9625
Ptycho59,5.3685,5.66953,5.3147,,,5.64302
Ptycho5,4.14024,15.8447,4.0033,,,7.22809
Ptycho60,4.62933,8.64445,4.55359,,,5.03709
Ptycho61,5.29429,5.65652,5.23315,,,5.57416
Ptycho62,4.45872,17.3155,4.32135,,,6.97769
Ptycho63,7.83365,12.12,7.70215,,,10.0719
Ptycho64,5.93696,6.19965,5.87378,,,6.19208
Ptycho65,8.1186,17.9709,7.8606,,,16.0426
Ptycho66,4.79128,8.82059,4.65747,,,8.49251
Ptycho67,8.74839,9.08258,8.646,,,9.07765
Ptycho68,7.81245,11.7997,7.66089,,,11.5491
Ptycho69,7.04174,11.183,6.89526,,,9.46016
Ptycho6,3.55085,3.77631,3.50024,,,3.74435
Ptycho70,6.58247,6.93292,6.49585,,,6.92331
Ptycho71,5.54988,6.86609,5.45752,,,5.87997
Ptycho72,4.22984,8.42303,4.15015,,,4.6976
Ptycho73,7.35269,7.6424,7.27783,,,7.62015
Ptycho74,7.30014,7.64471,7.2063,,,7.63123
Ptycho75,9.79935,10.178,9.67627,,,10.1651
Ptycho76,5.43133,5.78455,5.37842,,,5.69678
Ptycho77,7.87865,13.6011,7.70435,,,11.9917
Ptycho78,6.4463,6.80524,6.36133,,,6.78745
Ptycho79,11.5599,14.7376,11.4521,,,12.0079
Ptycho7,15.1706,18.6573,15.0176,,,15.553
Ptycho80,9.00931,9.30185,8.94171,,,9.2912
Ptycho81,5.98076,6.27936,5.90625,,,6.24286
Ptycho82,5.65668,5.92502,5.60535,,,5.91583
Ptycho83,6.66786,6.9408,6.60156,,,6.93268
Ptycho84,5.81035,6.09344,5.74878,,,6.07153
Ptycho85,7.86406,8.26398,7.75684,,,8.25082
Ptycho86,3.76245,4.05994,3.71167,,,4.02863
Ptycho87,4.54366,4.91699,4.46655,,,4.85864
