Engine File,Mean Latency (ms),Max Latency (ms),Min Latency (ms),90th Percentile Latency (ms),95th Percentile Latency (ms),99th Percentile Latency (ms)
Bragg0-int8,0.0318407,0.0595703,0.0285645,,,0.0336914
Bragg10-int8,0.0281408,0.0524902,0.0258179,,,0.0302734
Bragg11-int8,0.0316643,0.0584412,0.0287476,,,0.0340576
Bragg12-int8,0.0403692,0.640137,0.0375977,,,0.0426483
Bragg13-int8,0.0247573,0.0458984,0.0227051,,,0.0263672
Bragg14-int8,0.0294342,0.0488281,0.0266724,,,0.0317383
Bragg15-int8,0.0263158,0.0480957,0.0244141,,,0.0278931
Bragg16-int8,0.0263802,0.048584,0.0245361,,,0.0280762
Bragg17-int8,0.0319878,0.0666809,0.0292969,,,0.0341797
Bragg18-int8,0.0398722,0.0720215,0.0371094,,,0.0419922
Bragg19-int8,0.0320189,0.0596924,0.0292969,,,0.0341797
Bragg1-int8,0.0258212,0.11084,0.0234375,,,0.0273438
Bragg20-int8,0.0331479,0.0574951,0.0305176,,,0.0356903
Bragg21-int8,0.0319376,0.0586853,0.0286865,,,0.0339355
Bragg22-int8,0.0497299,0.0786133,0.0458984,,,0.0532532
Bragg23-int8,0.0401241,0.064209,0.0373535,,,0.0422363
Bragg24-int8,0.0325544,0.0532227,0.0297852,,,0.0348511
Bragg25-int8,0.0319546,0.115356,0.0292969,,,0.0341797
Bragg26-int8,0.035197,0.0737305,0.0319824,,,0.0373535
Bragg27-int8,0.0260002,0.050415,0.0240479,,,0.0275879
Bragg28-int8,0.0323018,0.0593262,0.029541,,,0.034729
Bragg29-int8,0.033082,0.0611725,0.0302734,,,0.0354004
Bragg2-int8,0.0372788,0.0637207,0.0339355,,,0.0397949
Bragg30-int8,0.0259283,0.0449219,0.0236816,,,0.0273438
Bragg31-int8,0.0497668,0.0906372,0.0461426,,,0.0556946
Bragg32-int8,0.0510042,0.0732422,0.0471191,,,0.0536499
Bragg33-int8,0.0435362,0.0649414,0.0407715,,,0.0454102
Bragg34-int8,0.0259989,0.0411377,0.0236816,,,0.0274048
